p_a,h,i,assortativity
0.5,1.0,7,0.4226292339988029
0.5,1.0,8,0.43045357964622755
0.5,1.0,9,0.4267677265077865
0.5,1.0,10,0.43700384205452186
0.5,1.0,11,0.4143988104472028
0.5,1.0,12,0.4290832103882987
0.5,1.0,13,0.4262023758355444
0.5,1.0,14,0.42942615388069877
0.5,1.0,15,0.42509304813109167
0.5,1.0,16,0.43313462336989145
0.5,1.0,17,0.4242303714949175
0.5,1.0,18,0.41843071378316293
0.5,1.0,19,0.4380536912751678
0.6,0.5,0,0.002471767308798976
0.6,0.5,1,-0.002077498934043362
0.6,0.5,2,0.0043769758530581996
0.6,0.5,3,-0.005036074077555327
0.6,0.5,4,-0.0068087780690057435
0.6,0.5,5,0.00021337503979995182
0.6,0.5,6,0.007108226110807506
0.6,0.5,7,-0.0008867231657321589
0.6,0.5,8,0.00434316499638514
0.6,0.5,9,-0.0012403953630968686
0.6,0.5,10,0.006123806234890706
0.6,0.5,11,-0.0013735388186104478
0.6,0.5,12,0.00347231071544323
0.6,0.5,13,-0.006314919885534292
0.6,0.5,14,0.007145012527176821
0.6,0.5,15,0.007296736901708638
0.6,0.5,16,0.0036942979528946816
0.6,0.5,17,-0.010275092657696062
0.6,0.5,18,-0.0035925599312485387
0.6,0.5,19,0.005726304572366866
0.6,0.6,0,0.07592255021182512
0.6,0.6,1,0.08901893795385146
0.6,0.6,2,0.09385986445692769
0.6,0.6,3,0.08283667813889034
0.6,0.6,4,0.08170613096967012
0.6,0.6,5,0.07627590964399603
0.6,0.6,6,0.0860059939612637
0.6,0.6,7,0.07904336430754351
0.6,0.6,8,0.07539201373930328
0.6,0.6,9,0.08201550717527521
0.6,0.6,10,0.08877338729908964
0.6,0.6,11,0.0856142047664694
0.6,0.6,12,0.08619596675272613
0.6,0.6,13,0.07733976512046632
0.6,0.6,14,0.07867242145447875
0.6,0.6,15,0.08662095569897908
0.6,0.6,16,0.08862281219160259
0.6,0.6,17,0.07449287169738439
0.6,0.6,18,0.07674202314232251
0.6,0.6,19,0.08173841999077268
0.6,0.7,0,0.14664159837376792
0.6,0.7,1,0.1696913388902903
0.6,0.7,2,0.1662286476416824
