b_p,n,p_M,h,h_p,run_index,active_set,majority
0.01,20000,0.8,0.5,1.0,2,236.2171,233.9422
0.01,20000,0.8,0.5,1.0,3,237.1563,234.9145
0.01,20000,0.8,0.5,1.0,4,236.7292,233.2625
0.01,20000,0.8,0.5,1.0,5,238.7191,232.795
0.01,20000,0.8,0.5,1.0,6,237.9147,235.6455
0.01,20000,0.8,0.5,1.0,7,237.3144,234.7884
0.01,20000,0.8,0.5,1.0,8,235.8406,231.2598
0.01,20000,0.8,0.5,1.0,9,237.7056,235.3987
0.01,20000,0.8,0.5,1.0,10,236.5341,233.1546
0.01,20000,0.8,0.5,1.0,11,236.403,226.1996
0.01,20000,0.8,0.5,1.0,12,237.0002,233.5665
0.01,20000,0.8,0.5,1.0,13,235.8444,230.224
0.01,20000,0.8,0.5,1.0,14,235.3974,231.4257
0.01,20000,0.8,0.5,1.0,15,237.0377,232.2361
0.01,20000,0.8,0.5,1.0,16,237.2113,233.8084
0.01,20000,0.8,0.5,1.0,17,237.8692,233.1454
0.01,20000,0.8,0.5,1.0,18,237.7907,234.3265
0.01,20000,0.8,0.5,1.0,19,236.8224,234.5596
0.01,20000,0.8,0.6,0.5,0,235.6534,190.7131
0.01,20000,0.8,0.6,0.5,1,234.9709,190.8659
0.01,20000,0.8,0.6,0.5,2,236.3518,197.8545
0.01,20000,0.8,0.6,0.5,3,234.1439,189.3938
0.01,20000,0.8,0.6,0.5,4,233.7109,191.4516
0.01,20000,0.8,0.6,0.5,5,235.1119,199.8743
0.01,20000,0.8,0.6,0.5,6,234.3089,193.6456
0.01,20000,0.8,0.6,0.5,7,234.1392,194.8187
0.01,20000,0.8,0.6,0.5,8,235.6718,193.0671
0.01,20000,0.8,0.6,0.5,9,234.6363,192.3765
0.01,20000,0.8,0.6,0.5,10,234.6721,192.5618
0.01,20000,0.8,0.6,0.5,11,233.197,193.3651
0.01,20000,0.8,0.6,0.5,12,235.313,190.7427
0.01,20000,0.8,0.6,0.5,13,235.2418,195.8195
0.01,20000,0.8,0.6,0.5,14,234.4009,193.1278
0.01,20000,0.8,0.6,0.5,15,235.9359,197.4734
0.01,20000,0.8,0.6,0.5,16,232.4717,199.1931
0.01,20000,0.8,0.6,0.5,17,235.2323,196.54
0.01,20000,0.8,0.6,0.5,18,236.8667,208.6455
0.01,20000,0.8,0.6,0.5,19,235.3831,194.0944
0.01,20000,0.8,0.6,0.6,0,235.9765,207.4975
0.01,20000,0.8,0.6,0.6,1,235.5128,206.9836
0.01,20000,0.8,0.6,0.6,2,236.8191,205.5791
0.01,20000,0.8,0.6,0.6,3,234.3969,207.8612
0.01,20000,0.8,0.6,0.6,4,234.1441,211.4181
0.01,20000,0.8,0.6,0.6,5,235.9535,216.204
0.01,20000,0.8,0.6,0.6,6,234.8026,210.6987
0.01,20000,0.8,0.6,0.6,7,234.6776,211.7783
0.01,20000,0.8,0.6,0.6,8,236.1106,214.1585
0.01,20000,0.8,0.6,0.6,9,235.1679,207.1952
0.01,20000,0.8,0.6,0.6,10,235.2531,208.5272
0.01,20000,0.8,0.6,0.6,11,233.5493,212.0151
0.01,20000,0.8,0.6,0.6,12,235.6107,204.559
0.01,20000,0.8,0.6,0.6,13,235.7977,207.8945
0.01,20000,0.8,0.6,0.6,14,234.9388,204.8507
0.01,20000,0.8,0.6,0.6,15,236.6039,213.7921
0.01,20000,0.8,0.6,0.6,16,233.0531,212.1953
0.01,20000,0.8,0.6,0.6,17,235.8072,207.505
0.01,20000,0.8,0.6,0.6,18,237.6948,218.9736
0.01,20000,0.8,0.6,0.6,19,236.0961,212.2118
0.01,20000,0.8,0.6,0.7,0,236.7408,218.7684
0.01,20000,0.8,0.6,0.7,1,236.4021,221.4414
0.01,20000,0.8,0.6,0.7,2,237.4472,218.5889
0.01,20000,0.8,0.6,0.7,3,234.8559,216.4276
0.01,20000,0.8,0.6,0.7,4,234.923,221.5857
0.01,20000,0.8,0.6,0.7,5,236.7854,224.3489
0.01,20000,0.8,0.6,0.7,6,235.4342,221.8479
0.01,20000,0.8,0.6,0.7,7,235.6563,223.0198
0.01,20000,0.8,0.6,0.7,8,236.9631,222.3709
0.01,20000,0.8,0.6,0.7,9,236.0882,219.5161
0.01,20000,0.8,0.6,0.7,10,235.96,222.4961
0.01,20000,0.8,0.6,0.7,11,234.2561,218.9485
0.01,20000,0.8,0.6,0.7,12,236.0871,217.4827
0.01,20000,0.8,0.6,0.7,13,236.6632,218.0305
0.01,20000,0.8,0.6,0.7,14,235.7292,218.161
0.01,20000,0.8,0.6,0.7,15,237.4904,223.028
0.01,20000,0.8,0.6,0.7,16,233.86,219.4102
0.01,20000,0.8,0.6,0.7,17,236.4149,216.5782
0.01,20000,0.8,0.6,0.7,18,238.857,231.7677
0.01,20000,0.8,0.6,0.7,19,236.9756,222.4672
0.01,20000,0.8,0.6,0.8,0,237.7493,227.1627
0.01,20000,0.8,0.6,0.8,1,237.2848,226.6288
0.01,20000,0.8,0.6,0.8,2,238.2131,223.4661
0.01,20000,0.8,0.6,0.8,3,235.572,224.2162
0.01,20000,0.8,0.6,0.8,4,235.7735,227.5588
0.01,20000,0.8,0.6,0.8,5,237.6645,228.3883
0.01,20000,0.8,0.6,0.8,6,236.3484,227.9261
0.01,20000,0.8,0.6,0.8,7,236.4144,229.0135
0.01,20000,0.8,0.6,0.8,8,237.7396,231.4323
0.01,20000,0.8,0.6,0.8,9,236.8984,226.49
0.01,20000,0.8,0.6,0.8,10,236.8519,228.6754
0.01,20000,0.8,0.6,0.8,11,234.9493,222.6014
0.01,20000,0.8,0.6,0.8,12,236.8998,222.3149
0.01,20000,0.8,0.6,0.8,13,237.4585,229.2883
0.01,20000,0.8,0.6,0.8,14,236.5388,227.2564
0.01,20000,0.8,0.6,0.8,15,238.4295,231.2446
0.01,20000,0.8,0.6,0.8,16,234.6912,227.5338
0.01,20000,0.8,0.6,0.8,17,237.0589,226.5532
0.01,20000,0.8,0.6,0.8,18,240.0663,236.141
0.01,20000,0.8,0.6,0.8,19,237.9955,228.721
0.01,20000,0.8,0.6,0.9,0,238.5418,232.1622
0.01,20000,0.8,0.6,0.9,1,238.2402,231.7443
0.01,20000,0.8,0.6,0.9,2,239.0665,231.6126
0.01,20000,0.8,0.6,0.9,3,236.3221,228.8421
0.01,20000,0.8,0.6,0.9,4,236.6671,230.3534
0.01,20000,0.8,0.6,0.9,5,238.5492,233.2991
0.01,20000,0.8,0.6,0.9,6,237.1759,232.8613
0.01,20000,0.8,0.6,0.9,7,237.4453,232.9691
0.01,20000,0.8,0.6,0.9,8,238.6239,233.263
0.01,20000,0.8,0.6,0.9,9,237.8454,230.416
0.01,20000,0.8,0.6,0.9,10,237.8746,234.7333
0.01,20000,0.8,0.6,0.9,11,235.689,230.4829
0.01,20000,0.8,0.6,0.9,12,237.6387,229.1915
0.01,20000,0.8,0.6,0.9,13,238.4492,234.357
0.01,20000,0.8,0.6,0.9,14,237.4308,231.0896
0.01,20000,0.8,0.6,0.9,15,239.1487,235.0427
0.01,20000,0.8,0.6,0.9,16,235.5746,231.4458
0.01,20000,0.8,0.6,0.9,17,237.8798,230.483
0.01,20000,0.8,0.6,0.9,18,241.0214,238.0111
0.01,20000,0.8,0.6,0.9,19,238.8578,235.7899
0.01,20000,0.8,0.6,1.0,0,239.3686,237.1063
0.01,20000,0.8,0.6,1.0,1,238.9732,235.5033
0.01,20000,0.8,0.6,1.0,2,239.9284,235.389
0.01,20000,0.8,0.6,1.0,3,237.3174,232.6347
0.01,20000,0.8,0.6,1.0,4,237.4125,235.0951
0.01,20000,0.8,0.6,1.0,5,239.4006,234.9028
0.01,20000,0.8,0.6,1.0,6,238.0712,235.6087
0.01,20000,0.8,0.6,1.0,7,238.1438,234.4403
0.01,20000,0.8,0.6,1.0,8,239.4581,237.1095
0.01,20000,0.8,0.6,1.0,9,238.7105,235.2604
0.01,20000,0.8,0.6,1.0,10,238.7979,236.3912
0.01,20000,0.8,0.6,1.0,11,236.4882,234.168
0.01,20000,0.8,0.6,1.0,12,238.4227,235.0577
0.01,20000,0.8,0.6,1.0,13,239.2017,239.2017
0.01,20000,0.8,0.6,1.0,14,238.174,235.803
0.01,20000,0.8,0.6,1.0,15,240.0832,238.9272
0.01,20000,0.8,0.6,1.0,16,236.3368,234.0316
0.01,20000,0.8,0.6,1.0,17,238.7848,236.5544
0.01,20000,0.8,0.6,1.0,18,241.9747,239.732
0.01,20000,0.8,0.6,1.0,19,239.8976,238.6847
0.01,20000,0.8,0.7,0.5,0,234.0744,200.2906
0.01,20000,0.8,0.7,0.5,1,233.8462,204.6004
0.01,20000,0.8,0.7,0.5,2,235.7076,203.5585
0.01,20000,0.8,0.7,0.5,3,236.2728,202.3162
0.01,20000,0.8,0.7,0.5,4,234.0008,205.5656
0.01,20000,0.8,0.7,0.5,5,234.6097,199.8462
0.01,20000,0.8,0.7,0.5,6,236.188,193.4227
0.01,20000,0.8,0.7,0.5,7,236.1681,212.1708
0.01,20000,0.8,0.7,0.5,8,234.2779,198.43
0.01,20000,0.8,0.7,0.5,9,236.4631,201.7225
0.01,20000,0.8,0.7,0.5,10,234.8098,196.9096
0.01,20000,0.8,0.7,0.5,11,234.6199,201.7269
0.01,20000,0.8,0.7,0.5,12,234.6188,204.0389
0.01,20000,0.8,0.7,0.5,13,234.575,194.4891
0.01,20000,0.8,0.7,0.5,14,235.7132,209.7761
0.01,20000,0.8,0.7,0.5,15,233.0668,200.3525
0.01,20000,0.8,0.7,0.5,16,235.6267,204.7576
0.01,20000,0.8,0.7,0.5,17,234.2455,199.0202
0.01,20000,0.8,0.7,0.5,18,236.1116,201.4255
0.01,20000,0.8,0.7,0.5,19,237.1673,207.1406
0.01,20000,0.8,0.7,0.6,0,234.7268,215.337
0.01,20000,0.8,0.7,0.6,1,234.683,218.6536
0.01,20000,0.8,0.7,0.6,2,236.3354,214.5972
0.01,20000,0.8,0.7,0.6,3,237.1027,218.5877
0.01,20000,0.8,0.7,0.6,4,234.7845,218.7997
0.01,20000,0.8,0.7,0.6,5,235.3061,214.9373
0.01,20000,0.8,0.7,0.6,6,236.8171,208.4891
0.01,20000,0.8,0.7,0.6,7,237.108,223.6515
0.01,20000,0.8,0.7,0.6,8,234.8497,209.1959
0.01,20000,0.8,0.7,0.6,9,237.3546,215.126
0.01,20000,0.8,0.7,0.6,10,235.3693,216.1146
0.01,20000,0.8,0.7,0.6,11,235.1555,214.7884
0.01,20000,0.8,0.7,0.6,12,235.2707,209.9528
0.01,20000,0.8,0.7,0.6,13,235.2236,210.5489
0.01,20000,0.8,0.7,0.6,14,236.701,219.3756
0.01,20000,0.8,0.7,0.6,15,233.6292,216.3407
0.01,20000,0.8,0.7,0.6,16,236.7173,220.4288
0.01,20000,0.8,0.7,0.6,17,234.9256,212.2107
0.01,20000,0.8,0.7,0.6,18,237.0057,214.6187
0.01,20000,0.8,0.7,0.6,19,237.7032,215.9684
0.01,20000,0.8,0.7,0.7,0,235.5447,221.2994
0.01,20000,0.8,0.7,0.7,1,235.5713,222.6285
0.01,20000,0.8,0.7,0.7,2,237.2323,222.8123
0.01,20000,0.8,0.7,0.7,3,238.144,224.7411
0.01,20000,0.8,0.7,0.7,4,235.8945,226.024
0.01,20000,0.8,0.7,0.7,5,236.1114,222.8656
0.01,20000,0.8,0.7,0.7,6,237.572,217.4776
0.01,20000,0.8,0.7,0.7,7,238.2187,229.0609
0.01,20000,0.8,0.7,0.7,8,235.6529,218.2294
0.01,20000,0.8,0.7,0.7,9,238.3469,224.2804
0.01,20000,0.8,0.7,0.7,10,236.389,224.3092
0.01,20000,0.8,0.7,0.7,11,235.9927,224.9922
0.01,20000,0.8,0.7,0.7,12,236.1077,222.0606
0.01,20000,0.8,0.7,0.7,13,236.2521,221.9737
0.01,20000,0.8,0.7,0.7,14,237.741,225.6464
0.01,20000,0.8,0.7,0.7,15,234.5378,221.2785
0.01,20000,0.8,0.7,0.7,16,237.5816,224.3909
0.01,20000,0.8,0.7,0.7,17,235.6662,220.2416
0.01,20000,0.8,0.7,0.7,18,237.9473,222.7958
0.01,20000,0.8,0.7,0.7,19,238.4585,223.9846
0.01,20000,0.8,0.7,0.8,0,236.3687,227.1842
0.01,20000,0.8,0.7,0.8,1,236.5532,228.6121
0.01,20000,0.8,0.7,0.8,2,238.0131,226.5669
0.01,20000,0.8,0.7,0.8,3,238.8005,229.4499
0.01,20000,0.8,0.7,0.8,4,236.8835,228.9275
0.01,20000,0.8,0.7,0.8,5,236.9656,228.8119
0.01,20000,0.8,0.7,0.8,6,238.4067,226.6929
0.01,20000,0.8,0.7,0.8,7,239.2337,234.2523
0.01,20000,0.8,0.7,0.8,8,236.4901,228.4328
0.01,20000,0.8,0.7,0.8,9,239.3563,233.571
0.01,20000,0.8,0.7,0.8,10,237.3417,228.2413
0.01,20000,0.8,0.7,0.8,11,236.9447,231.1168
0.01,20000,0.8,0.7,0.8,12,236.962,226.984
0.01,20000,0.8,0.7,0.8,13,237.191,227.9825
0.01,20000,0.8,0.7,0.8,14,238.6383,231.6514
0.01,20000,0.8,0.7,0.8,15,235.341,227.1256
0.01,20000,0.8,0.7,0.8,16,238.5455,230.5879
0.01,20000,0.8,0.7,0.8,17,236.3924,224.9799
0.01,20000,0.8,0.7,0.8,18,238.8295,227.572
0.01,20000,0.8,0.7,0.8,19,239.2977,229.8867
0.01,20000,0.8,0.7,0.9,0,237.2515,232.0393
0.01,20000,0.8,0.7,0.9,1,237.317,232.1555
0.01,20000,0.8,0.7,0.9,2,238.7718,230.2118
0.01,20000,0.8,0.7,0.9,3,239.6894,232.1673
0.01,20000,0.8,0.7,0.9,4,237.8056,231.6451
0.01,20000,0.8,0.7,0.9,5,237.8035,232.4928
0.01,20000,0.8,0.7,0.9,6,239.1216,230.3377
0.01,20000,0.8,0.7,0.9,7,239.9748,235.8316
0.01,20000,0.8,0.7,0.9,8,237.1766,231.948
0.01,20000,0.8,0.7,0.9,9,240.35,236.4111
0.01,20000,0.8,0.7,0.9,10,238.1299,231.9605
0.01,20000,0.8,0.7,0.9,11,237.7643,234.855
0.01,20000,0.8,0.7,0.9,12,237.8369,230.6625
0.01,20000,0.8,0.7,0.9,13,238.0323,231.6789
0.01,20000,0.8,0.7,0.9,14,239.6022,236.6179
0.01,20000,0.8,0.7,0.9,15,235.9927,230.6221
0.01,20000,0.8,0.7,0.9,16,239.4946,235.4941
0.01,20000,0.8,0.7,0.9,17,237.2444,228.7864
0.01,20000,0.8,0.7,0.9,18,239.7106,231.2728
0.01,20000,0.8,0.7,0.9,19,240.1605,233.5939
0.01,20000,0.8,0.7,1.0,0,237.8336,235.4504
0.01,20000,0.8,0.7,1.0,1,238.1349,234.5831
0.01,20000,0.8,0.7,1.0,2,239.4023,231.5012
0.01,20000,0.8,0.7,1.0,3,240.5361,236.9237
0.01,20000,0.8,0.7,1.0,4,238.5856,235.2299
0.01,20000,0.8,0.7,1.0,5,238.5435,236.0602
0.01,20000,0.8,0.7,1.0,6,239.9188,232.8861
0.01,20000,0.8,0.7,1.0,7,240.8153,238.4766
0.01,20000,0.8,0.7,1.0,8,237.9841,235.5504
0.01,20000,0.8,0.7,1.0,9,241.07,239.9574
0.01,20000,0.8,0.7,1.0,10,238.7797,236.5453
0.01,20000,0.8,0.7,1.0,11,238.6353,237.4526
0.01,20000,0.8,0.7,1.0,12,238.7432,236.5063
0.01,20000,0.8,0.7,1.0,13,238.8062,233.0616
0.01,20000,0.8,0.7,1.0,14,240.3401,238.015
0.01,20000,0.8,0.7,1.0,15,236.672,233.0241
0.01,20000,0.8,0.7,1.0,16,240.3261,238.088
0.01,20000,0.8,0.7,1.0,17,237.7931,233.2661
0.01,20000,0.8,0.7,1.0,18,240.7069,236.1167
0.01,20000,0.8,0.7,1.0,19,240.8073,235.9543
