b_p,network,h_p,offset,run_index,active_set,majority
0.01,upsjobs,0.8,20,3,699.5152,519.1045
0.01,upsjobs,0.8,20,4,699.0576,518.6901
0.01,upsjobs,0.8,20,5,699.5087,518.9619
0.01,upsjobs,0.8,20,6,699.5217,518.9048
0.01,upsjobs,0.8,20,7,699.5378,519.155
0.01,upsjobs,0.8,20,8,699.4873,519.1383
0.01,upsjobs,0.8,20,9,699.1454,518.6716
0.01,upsjobs,0.8,30,0,693.4544,530.1907
0.01,upsjobs,0.8,30,1,693.0134,529.7484
0.01,upsjobs,0.8,30,2,693.1858,529.9005
0.01,upsjobs,0.8,30,3,693.2472,529.9149
0.01,upsjobs,0.8,30,4,692.9575,529.8858
0.01,upsjobs,0.8,30,5,693.2045,530.1564
0.01,upsjobs,0.8,30,6,693.294,530.148
0.01,upsjobs,0.8,30,7,693.0308,529.7947
0.01,upsjobs,0.8,30,8,693.5552,530.1936
0.01,upsjobs,0.8,30,9,693.5149,530.1046
0.01,upsjobs,0.8,40,0,680.8915,538.0144
0.01,upsjobs,0.8,40,1,681.7311,538.4197
0.01,upsjobs,0.8,40,2,681.7888,538.6526
0.01,upsjobs,0.8,40,3,681.4934,538.2912
0.01,upsjobs,0.8,40,4,681.0442,537.9171
0.01,upsjobs,0.8,40,5,681.17,538.209
0.01,upsjobs,0.8,40,6,681.1394,538.2362
0.01,upsjobs,0.8,40,7,681.2124,538.1695
0.01,upsjobs,0.8,40,8,681.2285,538.1952
0.01,upsjobs,0.8,40,9,681.4598,538.2828
0.01,upsjobs,0.8,50,0,666.4253,548.4267
0.01,upsjobs,0.8,50,1,666.0332,548.2106
0.01,upsjobs,0.8,50,2,666.5167,548.3564
0.01,upsjobs,0.8,50,3,666.6926,548.4295
0.01,upsjobs,0.8,50,4,666.2186,548.025
0.01,upsjobs,0.8,50,5,666.3985,548.4338
0.01,upsjobs,0.8,50,6,666.1583,548.3008
0.01,upsjobs,0.8,50,7,666.5699,548.4186
0.01,upsjobs,0.8,50,8,666.6452,548.0944
0.01,upsjobs,0.8,50,9,666.0917,548.1224
0.01,upsjobs,0.8,60,0,629.3837,553.2868
0.01,upsjobs,0.8,60,1,629.1882,553.5413
0.01,upsjobs,0.8,60,2,629.0866,553.1721
0.01,upsjobs,0.8,60,3,628.9588,552.9615
0.01,upsjobs,0.8,60,4,628.8895,552.894
0.01,upsjobs,0.8,60,5,629.0207,553.1071
0.01,upsjobs,0.8,60,6,629.0607,553.0434
0.01,upsjobs,0.8,60,7,628.7942,553.0215
0.01,upsjobs,0.8,60,8,629.0312,553.0325
0.01,upsjobs,0.8,60,9,629.2818,553.3631
0.01,bofa_careers,0.5,-60,0,577.7562,396.485
0.01,bofa_careers,0.5,-60,1,578.4118,396.8505
0.01,bofa_careers,0.5,-60,2,578.0608,396.6938
0.01,bofa_careers,0.5,-60,3,578.0815,396.5841
0.01,bofa_careers,0.5,-60,4,578.3112,396.8369
0.01,bofa_careers,0.5,-60,5,578.0915,396.559
0.01,bofa_careers,0.5,-60,6,577.8086,396.4301
0.01,bofa_careers,0.5,-60,7,578.2634,396.8504
0.01,bofa_careers,0.5,-60,8,578.0129,396.6614
0.01,bofa_careers,0.5,-60,9,578.127,396.7003
0.01,bofa_careers,0.5,-50,0,579.9826,406.0178
0.01,bofa_careers,0.5,-50,1,580.0596,406.3417
0.01,bofa_careers,0.5,-50,2,580.1676,406.2433
0.01,bofa_careers,0.5,-50,3,580.1485,406.3057
0.01,bofa_careers,0.5,-50,4,580.1487,406.2031
0.01,bofa_careers,0.5,-50,5,580.0855,406.1878
0.01,bofa_careers,0.5,-50,6,579.9187,406.0051
0.01,bofa_careers,0.5,-50,7,579.9205,406.138
0.01,bofa_careers,0.5,-50,8,579.7793,405.9596
0.01,bofa_careers,0.5,-50,9,579.7848,406.0013
0.01,bofa_careers,0.5,-40,0,581.3375,415.6692
0.01,bofa_careers,0.5,-40,1,581.6563,415.8107
0.01,bofa_careers,0.5,-40,2,581.8324,416.0446
0.01,bofa_careers,0.5,-40,3,582.0549,416.3122
0.01,bofa_careers,0.5,-40,4,581.6846,416.0264
0.01,bofa_careers,0.5,-40,5,581.9332,415.9664
0.01,bofa_careers,0.5,-40,6,581.9833,416.232
0.01,bofa_careers,0.5,-40,7,581.9635,416.1983
0.01,bofa_careers,0.5,-40,8,581.9194,416.1354
0.01,bofa_careers,0.5,-40,9,581.9466,416.198
0.01,bofa_careers,0.5,-30,0,583.4458,425.9387
0.01,bofa_careers,0.5,-30,1,583.7698,426.2367
0.01,bofa_careers,0.5,-30,2,583.5439,425.9596
0.01,bofa_careers,0.5,-30,3,583.3739,425.7663
0.01,bofa_careers,0.5,-30,4,583.6278,426.0982
0.01,bofa_careers,0.5,-30,5,583.6384,426.0687
0.01,bofa_careers,0.5,-30,6,583.6254,426.1613
0.01,bofa_careers,0.5,-30,7,583.6221,426.0831
0.01,bofa_careers,0.5,-30,8,583.7125,426.1846
0.01,bofa_careers,0.5,-30,9,583.7095,426.1973
0.01,bofa_careers,0.5,-20,0,584.2684,435.0035
0.01,bofa_careers,0.5,-20,1,584.1986,434.8079
0.01,bofa_careers,0.5,-20,2,584.5235,435.103
0.01,bofa_careers,0.5,-20,3,584.3456,435.0035
0.01,bofa_careers,0.5,-20,4,584.2535,434.7913
0.01,bofa_careers,0.5,-20,5,584.1851,434.7944
0.01,bofa_careers,0.5,-20,6,584.068,434.6899
0.01,bofa_careers,0.5,-20,7,584.4717,435.0737
0.01,bofa_careers,0.5,-20,8,584.0037,434.7059
0.01,bofa_careers,0.5,-20,9,584.3502,434.9677
0.01,bofa_careers,0.5,-10,0,587.0635,444.844
0.01,bofa_careers,0.5,-10,1,587.48,445.178
0.01,bofa_careers,0.5,-10,2,587.1016,445.0364
0.01,bofa_careers,0.5,-10,3,587.2692,445.0269
0.01,bofa_careers,0.5,-10,4,587.2815,444.9611
0.01,bofa_careers,0.5,-10,5,587.4998,445.1537
0.01,bofa_careers,0.5,-10,6,587.4006,445.2384
0.01,bofa_careers,0.5,-10,7,587.1616,445.0862
0.01,bofa_careers,0.5,-10,8,587.2105,445.0002
0.01,bofa_careers,0.5,-10,9,587.0059,444.7417
0.01,bofa_careers,0.5,0,0,586.4804,453.0057
0.01,bofa_careers,0.5,0,1,586.6425,453.027
0.01,bofa_careers,0.5,0,2,586.4461,452.981
0.01,bofa_careers,0.5,0,3,586.2808,452.8445
0.01,bofa_careers,0.5,0,4,586.7884,453.3186
0.01,bofa_careers,0.5,0,5,586.6797,453.1264
0.01,bofa_careers,0.5,0,6,586.52,452.9503
0.01,bofa_careers,0.5,0,7,586.7209,452.9986
0.01,bofa_careers,0.5,0,8,586.6153,453.1118
0.01,bofa_careers,0.5,0,9,586.4461,452.8694
0.01,bofa_careers,0.5,10,0,587.0263,461.6647
0.01,bofa_careers,0.5,10,1,586.8723,461.4399
0.01,bofa_careers,0.5,10,2,587.0072,461.58
0.01,bofa_careers,0.5,10,3,586.7918,461.6199
0.01,bofa_careers,0.5,10,4,586.6545,461.3145
0.01,bofa_careers,0.5,10,5,587.0775,461.6717
0.01,bofa_careers,0.5,10,6,586.8809,461.5757
0.01,bofa_careers,0.5,10,7,586.6706,461.2516
0.01,bofa_careers,0.5,10,8,586.6346,461.2699
0.01,bofa_careers,0.5,10,9,586.8144,461.2774
0.01,bofa_careers,0.5,20,0,584.4739,468.3318
0.01,bofa_careers,0.5,20,1,584.7467,468.5307
0.01,bofa_careers,0.5,20,2,584.4169,468.1185
0.01,bofa_careers,0.5,20,3,584.5712,468.1091
0.01,bofa_careers,0.5,20,4,584.2765,468.0475
0.01,bofa_careers,0.5,20,5,584.1331,467.8781
0.01,bofa_careers,0.5,20,6,584.1003,467.8732
0.01,bofa_careers,0.5,20,7,584.3979,468.0679
0.01,bofa_careers,0.5,20,8,584.5019,468.2337
0.01,bofa_careers,0.5,20,9,584.2528,468.2338
0.01,bofa_careers,0.5,30,0,581.8678,474.9515
0.01,bofa_careers,0.5,30,1,581.7122,474.8438
0.01,bofa_careers,0.5,30,2,581.4526,474.5264
0.01,bofa_careers,0.5,30,3,581.7572,474.8361
0.01,bofa_careers,0.5,30,4,581.614,474.7975
0.01,bofa_careers,0.5,30,5,581.5749,474.7551
0.01,bofa_careers,0.5,30,6,581.6738,474.9519
0.01,bofa_careers,0.5,30,7,581.7859,474.7905
0.01,bofa_careers,0.5,30,8,581.7152,474.8628
0.01,bofa_careers,0.5,30,9,581.6729,474.8431
0.01,bofa_careers,0.5,40,0,571.6657,476.6983
0.01,bofa_careers,0.5,40,1,571.6651,476.6346
0.01,bofa_careers,0.5,40,2,571.5756,476.8356
0.01,bofa_careers,0.5,40,3,571.5311,476.5657
0.01,bofa_careers,0.5,40,4,571.5642,476.684
0.01,bofa_careers,0.5,40,5,571.4624,476.4614
0.01,bofa_careers,0.5,40,6,571.7494,476.6891
0.01,bofa_careers,0.5,40,7,571.7095,476.6884
0.01,bofa_careers,0.5,40,8,571.9234,476.8969
0.01,bofa_careers,0.5,40,9,571.3109,476.5638
0.01,bofa_careers,0.5,50,0,3604.6167,520.552
0.01,bofa_careers,0.5,50,1,3604.2463,520.1854
0.01,bofa_careers,0.5,50,2,3604.4868,520.4269
0.01,bofa_careers,0.5,50,3,3604.6484,520.5865
0.01,bofa_careers,0.5,50,4,3604.3856,520.3203
0.01,bofa_careers,0.5,50,5,3604.1079,520.0431
0.01,bofa_careers,0.5,50,6,3604.2188,520.1577
0.01,bofa_careers,0.5,50,7,3604.0677,520.0036
0.01,bofa_careers,0.5,50,8,3604.3555,520.2912
0.01,bofa_careers,0.5,50,9,3604.6334,520.5691
0.01,bofa_careers,0.5,60,0,3604.2536,529.9832
0.01,bofa_careers,0.5,60,1,3604.1446,529.881
0.01,bofa_careers,0.5,60,2,3604.0255,529.7572
0.01,bofa_careers,0.5,60,3,3604.1276,529.8472
0.01,bofa_careers,0.5,60,4,3603.9874,529.7209
0.01,bofa_careers,0.5,60,5,3603.9747,529.712
0.01,bofa_careers,0.5,60,6,3603.8981,529.6187
0.01,bofa_careers,0.5,60,7,3604.1204,529.8551
0.01,bofa_careers,0.5,60,8,3603.749,529.4841
0.01,bofa_careers,0.5,60,9,3603.8412,529.575
0.01,bofa_careers,0.8,-60,0,575.7868,422.9272
0.01,bofa_careers,0.8,-60,1,575.9409,423.1927
0.01,bofa_careers,0.8,-60,2,575.8182,422.9976
0.01,bofa_careers,0.8,-60,3,575.6632,422.9343
0.01,bofa_careers,0.8,-60,4,575.8549,423.0288
0.01,bofa_careers,0.8,-60,5,575.9024,423.1938
0.01,bofa_careers,0.8,-60,6,576.1207,423.2957
0.01,bofa_careers,0.8,-60,7,576.1196,423.2774
0.01,bofa_careers,0.8,-60,8,575.9359,423.0085
0.01,bofa_careers,0.8,-60,9,575.9665,423.1284
0.01,bofa_careers,0.8,-50,0,579.0503,434.2911
0.01,bofa_careers,0.8,-50,1,578.9293,434.3266
0.01,bofa_careers,0.8,-50,2,578.8335,434.1423
0.01,bofa_careers,0.8,-50,3,578.952,434.3387
0.01,bofa_careers,0.8,-50,4,578.4812,433.9132
0.01,bofa_careers,0.8,-50,5,578.7074,434.178
0.01,bofa_careers,0.8,-50,6,578.7415,434.1354
0.01,bofa_careers,0.8,-50,7,579.0588,434.3566
0.01,bofa_careers,0.8,-50,8,578.8368,434.2617
0.01,bofa_careers,0.8,-50,9,579.078,434.3997
0.01,bofa_careers,0.8,-40,0,581.1786,445.5391
0.01,bofa_careers,0.8,-40,1,581.3141,445.6151
0.01,bofa_careers,0.8,-40,2,581.2528,445.5834
0.01,bofa_careers,0.8,-40,3,580.9108,445.258
0.01,bofa_careers,0.8,-40,4,581.3954,445.8422
0.01,bofa_careers,0.8,-40,5,581.1086,445.3164
0.01,bofa_careers,0.8,-40,6,581.0262,445.3805
0.01,bofa_careers,0.8,-40,7,581.4446,445.7422
0.01,bofa_careers,0.8,-40,8,581.2945,445.6502
0.01,bofa_careers,0.8,-40,9,580.9959,445.3183
0.01,bofa_careers,0.8,-30,0,583.7291,457.3079
0.01,bofa_careers,0.8,-30,1,583.8133,457.4524
0.01,bofa_careers,0.8,-30,2,583.8085,457.2876
0.01,bofa_careers,0.8,-30,3,583.0609,456.6166
0.01,bofa_careers,0.8,-30,4,583.475,457.0272
0.01,bofa_careers,0.8,-30,5,583.4689,457.0198
0.01,bofa_careers,0.8,-30,6,583.7271,457.3087
0.01,bofa_careers,0.8,-30,7,583.3188,456.9736
0.01,bofa_careers,0.8,-30,8,583.6543,457.3234
0.01,bofa_careers,0.8,-30,9,583.7463,457.3043
0.01,bofa_careers,0.8,-20,0,584.6921,467.1918
0.01,bofa_careers,0.8,-20,1,584.5234,467.0644
0.01,bofa_careers,0.8,-20,2,584.9344,467.3527
0.01,bofa_careers,0.8,-20,3,584.9286,467.2984
0.01,bofa_careers,0.8,-20,4,584.2216,466.6955
0.01,bofa_careers,0.8,-20,5,584.8447,467.3211
0.01,bofa_careers,0.8,-20,6,584.4956,466.9199
0.01,bofa_careers,0.8,-20,7,584.4989,467.099
0.01,bofa_careers,0.8,-20,8,584.6945,467.1421
0.01,bofa_careers,0.8,-20,9,584.5707,467.0551
0.01,bofa_careers,0.8,-10,0,587.5562,478.3409
0.01,bofa_careers,0.8,-10,1,587.2901,478.2326
0.01,bofa_careers,0.8,-10,2,587.5426,478.3132
0.01,bofa_careers,0.8,-10,3,587.1844,478.0142
0.01,bofa_careers,0.8,-10,4,587.6521,478.6012
0.01,bofa_careers,0.8,-10,5,587.1086,478.1948
0.01,bofa_careers,0.8,-10,6,587.4735,478.426
0.01,bofa_careers,0.8,-10,7,587.5559,478.501
0.01,bofa_careers,0.8,-10,8,587.6493,478.6241
0.01,bofa_careers,0.8,-10,9,587.3747,478.4391
0.01,bofa_careers,0.8,0,0,587.2086,487.5936
0.01,bofa_careers,0.8,0,1,587.5613,487.8818
0.01,bofa_careers,0.8,0,2,587.4874,487.8425
0.01,bofa_careers,0.8,0,3,587.2025,487.6844
0.01,bofa_careers,0.8,0,4,587.2796,487.6545
0.01,bofa_careers,0.8,0,5,587.4023,487.8942
0.01,bofa_careers,0.8,0,6,587.1928,487.6664
0.01,bofa_careers,0.8,0,7,587.0669,487.491
0.01,bofa_careers,0.8,0,8,587.4028,487.7892
0.01,bofa_careers,0.8,0,9,587.7403,488.1307
0.01,bofa_careers,0.8,10,0,587.8099,497.5809
0.01,bofa_careers,0.8,10,1,587.8875,497.5953
0.01,bofa_careers,0.8,10,2,587.461,497.2906
0.01,bofa_careers,0.8,10,3,587.9926,497.8408
0.01,bofa_careers,0.8,10,4,588.0869,497.7295
0.01,bofa_careers,0.8,10,5,587.7602,497.531
0.01,bofa_careers,0.8,10,6,587.8999,497.7105
0.01,bofa_careers,0.8,10,7,587.967,497.6644
0.01,bofa_careers,0.8,10,8,588.0726,497.7066
0.01,bofa_careers,0.8,10,9,587.996,497.7512
0.01,bofa_careers,0.8,20,0,585.4068,506.0634
0.01,bofa_careers,0.8,20,1,585.3847,506.0374
0.01,bofa_careers,0.8,20,2,585.4117,506.0693
0.01,bofa_careers,0.8,20,3,585.5645,506.0007
0.01,bofa_careers,0.8,20,4,585.3456,505.8604
0.01,bofa_careers,0.8,20,5,585.3435,506.0048
0.01,bofa_careers,0.8,20,6,585.3742,505.9831
0.01,bofa_careers,0.8,20,7,585.3481,506.0413
0.01,bofa_careers,0.8,20,8,585.3298,505.9458
0.01,bofa_careers,0.8,20,9,585.3321,506.0944
0.01,bofa_careers,0.8,30,0,582.3514,515.3232
0.01,bofa_careers,0.8,30,1,582.5344,515.4019
0.01,bofa_careers,0.8,30,2,582.5429,515.347
0.01,bofa_careers,0.8,30,3,582.0363,515.0156
0.01,bofa_careers,0.8,30,4,582.4717,515.2596
0.01,bofa_careers,0.8,30,5,581.9768,514.8952
0.01,bofa_careers,0.8,30,6,582.103,515.086
0.01,bofa_careers,0.8,30,7,582.1191,514.9999
0.01,bofa_careers,0.8,30,8,582.1765,515.2457
0.01,bofa_careers,0.8,30,9,582.2636,515.0881
0.01,bofa_careers,0.8,40,0,573.3293,522.3285
0.01,bofa_careers,0.8,40,1,573.0235,522.2171
0.01,bofa_careers,0.8,40,2,573.402,522.5283
0.01,bofa_careers,0.8,40,3,573.0164,522.2576
0.01,bofa_careers,0.8,40,4,573.2429,522.3939
0.01,bofa_careers,0.8,40,5,573.0336,522.1791
0.01,bofa_careers,0.8,40,6,573.0542,522.1495
0.01,bofa_careers,0.8,40,7,573.2057,522.4147
0.01,bofa_careers,0.8,40,8,572.8826,521.9858
0.01,bofa_careers,0.8,40,9,572.8999,522.0578
0.01,bofa_careers,0.8,50,0,3628.7956,544.7535
0.01,bofa_careers,0.8,50,1,3628.4048,544.3653
0.01,bofa_careers,0.8,50,2,3628.3473,544.3074
0.01,bofa_careers,0.8,50,3,3628.4715,544.4294
0.01,bofa_careers,0.8,50,4,3628.2563,544.2156
0.01,bofa_careers,0.8,50,5,3628.522,544.4795
0.01,bofa_careers,0.8,50,6,3628.4675,544.4268
0.01,bofa_careers,0.8,50,7,3628.2885,544.2526
0.01,bofa_careers,0.8,50,8,3628.5446,544.5047
0.01,bofa_careers,0.8,50,9,3628.4722,544.4313
0.01,bofa_careers,0.8,60,0,3628.031,553.8737
0.01,bofa_careers,0.8,60,1,3628.2928,554.1347
0.01,bofa_careers,0.8,60,2,3628.3408,554.1837
0.01,bofa_careers,0.8,60,3,3628.0325,553.8739
0.01,bofa_careers,0.8,60,4,3628.2668,554.1038
0.01,bofa_careers,0.8,60,5,3628.2945,554.1372
0.01,bofa_careers,0.8,60,6,3628.2323,554.0824
0.01,bofa_careers,0.8,60,7,3628.4136,554.2512
0.01,bofa_careers,0.8,60,8,3628.3373,554.1751
0.01,bofa_careers,0.8,60,9,3628.3984,554.2379
0.01,verizoncareers,0.5,-60,0,516.5588,345.9064
0.01,verizoncareers,0.5,-60,1,516.2184,345.5989
0.01,verizoncareers,0.5,-60,2,516.3209,345.7153
0.01,verizoncareers,0.5,-60,3,516.2845,345.5689
0.01,verizoncareers,0.5,-60,4,516.0531,345.3955
0.01,verizoncareers,0.5,-60,5,516.1363,345.5562
0.01,verizoncareers,0.5,-60,6,516.1341,345.5415
0.01,verizoncareers,0.5,-60,7,516.3838,345.8501
0.01,verizoncareers,0.5,-60,8,515.9844,345.3891
0.01,verizoncareers,0.5,-60,9,516.0486,345.5838
0.01,verizoncareers,0.5,-50,0,518.3229,356.0121
0.01,verizoncareers,0.5,-50,1,518.1867,355.8225
0.01,verizoncareers,0.5,-50,2,518.6132,356.0968
0.01,verizoncareers,0.5,-50,3,518.5833,356.1824
0.01,verizoncareers,0.5,-50,4,518.4273,355.9063
0.01,verizoncareers,0.5,-50,5,518.4587,355.9703
0.01,verizoncareers,0.5,-50,6,518.6355,356.2773
0.01,verizoncareers,0.5,-50,7,518.2399,355.8692
0.01,verizoncareers,0.5,-50,8,518.2746,355.8159
0.01,verizoncareers,0.5,-50,9,518.3667,355.9715
0.01,verizoncareers,0.5,-40,0,519.7167,365.2295
0.01,verizoncareers,0.5,-40,1,519.9694,365.3172
0.01,verizoncareers,0.5,-40,2,519.6021,365.0666
0.01,verizoncareers,0.5,-40,3,520.2165,365.4077
0.01,verizoncareers,0.5,-40,4,519.6036,364.9808
0.01,verizoncareers,0.5,-40,5,519.8008,365.1922
0.01,verizoncareers,0.5,-40,6,519.8368,365.0931
0.01,verizoncareers,0.5,-40,7,519.8681,365.2987
0.01,verizoncareers,0.5,-40,8,519.645,364.9288
0.01,verizoncareers,0.5,-40,9,519.7973,365.2666
0.01,verizoncareers,0.5,-30,0,518.8353,372.7587
0.01,verizoncareers,0.5,-30,1,519.1661,373.0492
0.01,verizoncareers,0.5,-30,2,519.3057,373.1546
0.01,verizoncareers,0.5,-30,3,519.2101,373.2095
0.01,verizoncareers,0.5,-30,4,519.1829,373.1375
0.01,verizoncareers,0.5,-30,5,519.1168,373.134
0.01,verizoncareers,0.5,-30,6,519.1489,373.039
0.01,verizoncareers,0.5,-30,7,519.1281,373.0847
0.01,verizoncareers,0.5,-30,8,519.2863,373.1822
0.01,verizoncareers,0.5,-30,9,519.2883,373.2289
0.01,verizoncareers,0.5,-20,0,521.6236,383.319
0.01,verizoncareers,0.5,-20,1,521.5592,383.1998
0.01,verizoncareers,0.5,-20,2,521.3427,383.0348
0.01,verizoncareers,0.5,-20,3,521.7045,383.482
0.01,verizoncareers,0.5,-20,4,521.089,382.9535
0.01,verizoncareers,0.5,-20,5,521.3601,383.1948
0.01,verizoncareers,0.5,-20,6,521.2798,382.9511
0.01,verizoncareers,0.5,-20,7,521.5508,383.2849
0.01,verizoncareers,0.5,-20,8,521.4145,383.0255
0.01,verizoncareers,0.5,-20,9,521.5373,383.3584
0.01,verizoncareers,0.5,-10,0,521.8662,391.6686
0.01,verizoncareers,0.5,-10,1,522.042,391.7352
0.01,verizoncareers,0.5,-10,2,521.8667,391.6541
0.01,verizoncareers,0.5,-10,3,522.1207,391.8889
0.01,verizoncareers,0.5,-10,4,522.2376,391.7272
0.01,verizoncareers,0.5,-10,5,522.1863,391.8579
0.01,verizoncareers,0.5,-10,6,522.0279,391.8547
0.01,verizoncareers,0.5,-10,7,522.0774,391.8782
0.01,verizoncareers,0.5,-10,8,521.9334,391.7747
0.01,verizoncareers,0.5,-10,9,521.9069,391.7134
0.01,verizoncareers,0.5,0,0,523.5921,400.8601
0.01,verizoncareers,0.5,0,1,523.5358,400.7723
0.01,verizoncareers,0.5,0,2,523.8215,400.9912
0.01,verizoncareers,0.5,0,3,523.5891,400.758
0.01,verizoncareers,0.5,0,4,523.4984,400.7528
0.01,verizoncareers,0.5,0,5,523.3718,400.5695
0.01,verizoncareers,0.5,0,6,523.3238,400.5909
0.01,verizoncareers,0.5,0,7,523.7076,400.978
0.01,verizoncareers,0.5,0,8,523.2965,400.6589
0.01,verizoncareers,0.5,0,9,523.7047,400.8398
0.01,verizoncareers,0.5,10,0,523.4449,408.7081
0.01,verizoncareers,0.5,10,1,523.3835,408.5462
0.01,verizoncareers,0.5,10,2,523.4374,408.5355
0.01,verizoncareers,0.5,10,3,523.2282,408.5469
0.01,verizoncareers,0.5,10,4,523.4156,408.5464
0.01,verizoncareers,0.5,10,5,523.5607,408.6679
0.01,verizoncareers,0.5,10,6,523.4664,408.5381
0.01,verizoncareers,0.5,10,7,523.29,408.2414
0.01,verizoncareers,0.5,10,8,523.3764,408.497
0.01,verizoncareers,0.5,10,9,523.1452,408.3404
0.01,verizoncareers,0.5,20,0,522.6395,416.0904
0.01,verizoncareers,0.5,20,1,522.5761,416.0021
0.01,verizoncareers,0.5,20,2,522.616,416.0412
0.01,verizoncareers,0.5,20,3,522.983,416.221
0.01,verizoncareers,0.5,20,4,523.0743,416.3078
0.01,verizoncareers,0.5,20,5,522.5343,415.9831
0.01,verizoncareers,0.5,20,6,522.4874,415.9148
0.01,verizoncareers,0.5,20,7,522.539,415.8546
0.01,verizoncareers,0.5,20,8,522.6687,415.9624
0.01,verizoncareers,0.5,20,9,522.5718,415.9084
0.01,verizoncareers,0.5,30,0,520.94,422.8841
0.01,verizoncareers,0.5,30,1,521.4716,423.182
0.01,verizoncareers,0.5,30,2,521.1772,422.994
0.01,verizoncareers,0.5,30,3,521.4386,423.2707
0.01,verizoncareers,0.5,30,4,521.6325,423.3046
0.01,verizoncareers,0.5,30,5,521.5798,423.2868
0.01,verizoncareers,0.5,30,6,521.3192,423.0256
0.01,verizoncareers,0.5,30,7,521.5992,423.1792
0.01,verizoncareers,0.5,30,8,521.3318,422.9815
0.01,verizoncareers,0.5,30,9,521.2537,422.9907
0.01,verizoncareers,0.5,40,0,512.0567,423.1876
0.01,verizoncareers,0.5,40,1,512.3169,423.3969
0.01,verizoncareers,0.5,40,2,512.4232,423.4438
0.01,verizoncareers,0.5,40,3,512.3853,423.4122
0.01,verizoncareers,0.5,40,4,512.3792,423.4525
0.01,verizoncareers,0.5,40,5,512.4917,423.5316
0.01,verizoncareers,0.5,40,6,512.3638,423.4976
0.01,verizoncareers,0.5,40,7,512.2508,423.3179
0.01,verizoncareers,0.5,40,8,512.3756,423.2633
0.01,verizoncareers,0.5,40,9,512.3372,423.3043
0.01,verizoncareers,0.5,50,0,2548.6608,457.5441
0.01,verizoncareers,0.5,50,1,2548.847,457.7282
0.01,verizoncareers,0.5,50,2,2548.71,457.5918
0.01,verizoncareers,0.5,50,3,2548.6263,457.5061
0.01,verizoncareers,0.5,50,4,2548.5738,457.4529
0.01,verizoncareers,0.5,50,5,2548.7522,457.6354
0.01,verizoncareers,0.5,50,6,2548.9216,457.8027
0.01,verizoncareers,0.5,50,7,2548.5408,457.4234
0.01,verizoncareers,0.5,50,8,2548.574,457.4446
0.01,verizoncareers,0.5,50,9,2548.7015,457.5872
0.01,verizoncareers,0.5,60,0,2547.5721,466.3559
0.01,verizoncareers,0.5,60,1,2547.5155,466.2988
0.01,verizoncareers,0.5,60,2,2547.6342,466.4154
0.01,verizoncareers,0.5,60,3,2547.6971,466.4806
0.01,verizoncareers,0.5,60,4,2547.7898,466.5732
0.01,verizoncareers,0.5,60,5,2547.5187,466.2999
0.01,verizoncareers,0.5,60,6,2547.7459,466.5189
0.01,verizoncareers,0.5,60,7,2547.8843,466.6599
0.01,verizoncareers,0.5,60,8,2547.5242,466.3097
0.01,verizoncareers,0.5,60,9,2547.2787,466.0604
0.01,verizoncareers,0.8,-60,0,511.9145,362.1901
0.01,verizoncareers,0.8,-60,1,511.9474,362.3131
0.01,verizoncareers,0.8,-60,2,511.9303,362.3338
0.01,verizoncareers,0.8,-60,3,512.1353,362.3914
0.01,verizoncareers,0.8,-60,4,512.0553,362.3681
0.01,verizoncareers,0.8,-60,5,512.0927,362.2745
0.01,verizoncareers,0.8,-60,6,512.59,362.7622
0.01,verizoncareers,0.8,-60,7,511.7076,362.0134
0.01,verizoncareers,0.8,-60,8,511.5385,361.9441
0.01,verizoncareers,0.8,-60,9,511.8408,362.1544
0.01,verizoncareers,0.8,-50,0,514.6022,373.8821
0.01,verizoncareers,0.8,-50,1,514.5805,374.0679
0.01,verizoncareers,0.8,-50,2,515.1208,374.4803
0.01,verizoncareers,0.8,-50,3,514.6586,374.0654
0.01,verizoncareers,0.8,-50,4,514.7198,374.2066
0.01,verizoncareers,0.8,-50,5,515.0288,374.3743
0.01,verizoncareers,0.8,-50,6,514.7801,374.2407
0.01,verizoncareers,0.8,-50,7,514.4696,373.8999
0.01,verizoncareers,0.8,-50,8,514.584,374.0434
0.01,verizoncareers,0.8,-50,9,514.7806,374.1833
0.01,verizoncareers,0.8,-40,0,515.7861,383.9926
0.01,verizoncareers,0.8,-40,1,516.1613,384.459
0.01,verizoncareers,0.8,-40,2,516.05,384.3515
0.01,verizoncareers,0.8,-40,3,516.5038,384.7027
0.01,verizoncareers,0.8,-40,4,516.0857,384.2158
0.01,verizoncareers,0.8,-40,5,516.2652,384.4103
0.01,verizoncareers,0.8,-40,6,516.1049,384.4335
0.01,verizoncareers,0.8,-40,7,516.2343,384.368
0.01,verizoncareers,0.8,-40,8,516.4204,384.5243
0.01,verizoncareers,0.8,-40,9,515.9852,384.2222
0.01,verizoncareers,0.8,-30,0,515.6311,393.0012
0.01,verizoncareers,0.8,-30,1,515.6255,393.0537
0.01,verizoncareers,0.8,-30,2,516.0059,393.3079
0.01,verizoncareers,0.8,-30,3,516.0509,393.3806
0.01,verizoncareers,0.8,-30,4,515.8372,393.1309
0.01,verizoncareers,0.8,-30,5,515.9923,393.4388
0.01,verizoncareers,0.8,-30,6,515.6143,393.0339
0.01,verizoncareers,0.8,-30,7,515.7337,393.0573
0.01,verizoncareers,0.8,-30,8,516.0213,393.368
