b_p,n,p_M,h,run_index,active_set,majority
0.01,20000,0.5,1.0,18,233.6714,114.0252
0.01,20000,0.5,1.0,19,233.014,128.3761
0.01,20000,0.6,0.5,0,234.2385,138.6401
0.01,20000,0.6,0.5,1,233.5117,138.9281
0.01,20000,0.6,0.5,2,234.1386,142.3018
0.01,20000,0.6,0.5,3,234.5885,154.7098
0.01,20000,0.6,0.5,4,233.8307,145.4987
0.01,20000,0.6,0.5,5,233.8703,146.5738
0.01,20000,0.6,0.5,6,235.5552,142.6544
0.01,20000,0.6,0.5,7,235.0147,138.6168
0.01,20000,0.6,0.5,8,233.0488,144.8607
0.01,20000,0.6,0.5,9,233.7036,133.3746
0.01,20000,0.6,0.5,10,233.3902,138.4713
0.01,20000,0.6,0.5,11,234.6223,141.0944
0.01,20000,0.6,0.5,12,234.5883,139.0228
0.01,20000,0.6,0.5,13,234.5051,138.111
0.01,20000,0.6,0.5,14,234.269,137.9668
0.01,20000,0.6,0.5,15,233.6697,137.0568
0.01,20000,0.6,0.5,16,232.5002,141.5916
0.01,20000,0.6,0.5,17,234.4472,128.911
0.01,20000,0.6,0.5,18,236.2687,145.844
0.01,20000,0.6,0.5,19,234.068,144.457
0.01,20000,0.6,0.6,0,234.8124,138.8775
0.01,20000,0.6,0.6,1,234.0569,138.62
0.01,20000,0.6,0.6,2,235.8031,146.3925
0.01,20000,0.6,0.6,3,234.4526,135.6615
0.01,20000,0.6,0.6,4,233.4912,149.5818
0.01,20000,0.6,0.6,5,237.1118,145.7178
0.01,20000,0.6,0.6,6,234.8172,131.2979
0.01,20000,0.6,0.6,7,233.4735,137.9001
0.01,20000,0.6,0.6,8,234.5241,144.4707
0.01,20000,0.6,0.6,9,233.7337,141.5253
0.01,20000,0.6,0.6,10,236.245,157.0012
0.01,20000,0.6,0.6,11,234.2081,134.7623
0.01,20000,0.6,0.6,12,232.6249,146.1757
0.01,20000,0.6,0.6,13,233.242,148.281
0.01,20000,0.6,0.6,14,234.3848,141.3915
0.01,20000,0.6,0.6,15,234.4239,152.4321
0.01,20000,0.6,0.6,16,234.3463,138.1852
0.01,20000,0.6,0.6,17,234.3674,139.6767
0.01,20000,0.6,0.6,18,234.4257,134.4109
0.01,20000,0.6,0.6,19,233.6499,147.932
0.01,20000,0.6,0.7,0,232.0714,150.0512
0.01,20000,0.6,0.7,1,234.3143,144.2328
0.01,20000,0.6,0.7,2,232.807,145.5991
0.01,20000,0.6,0.7,3,233.8735,143.7512
0.01,20000,0.6,0.7,4,234.25,147.1278
0.01,20000,0.6,0.7,5,233.9664,136.2146
0.01,20000,0.6,0.7,6,235.3733,156.0512
0.01,20000,0.6,0.7,7,234.7768,143.9496
0.01,20000,0.6,0.7,8,234.2335,141.6507
0.01,20000,0.6,0.7,9,232.3333,147.1138
0.01,20000,0.6,0.7,10,234.282,143.3418
0.01,20000,0.6,0.7,11,233.9517,139.861
0.01,20000,0.6,0.7,12,232.7563,144.4528
0.01,20000,0.6,0.7,13,233.0164,140.7484
0.01,20000,0.6,0.7,14,233.8259,146.9908
0.01,20000,0.6,0.7,15,233.9729,144.1194
0.01,20000,0.6,0.7,16,234.4711,145.0123
0.01,20000,0.6,0.7,17,235.6003,157.3182
0.01,20000,0.6,0.7,18,234.6526,147.0671
0.01,20000,0.6,0.7,19,234.8296,139.2904
0.01,20000,0.6,0.8,0,234.753,164.893
0.01,20000,0.6,0.8,1,234.3512,145.3854
0.01,20000,0.6,0.8,2,235.1769,167.0696
0.01,20000,0.6,0.8,3,233.5638,149.7014
0.01,20000,0.6,0.8,4,234.2216,152.932
0.01,20000,0.6,0.8,5,236.1861,157.3376
0.01,20000,0.6,0.8,6,234.7364,159.5332
0.01,20000,0.6,0.8,7,235.5988,151.397
0.01,20000,0.6,0.8,8,234.7454,149.8724
0.01,20000,0.6,0.8,9,234.1463,155.7026
0.01,20000,0.6,0.8,10,234.5533,153.3472
0.01,20000,0.6,0.8,11,233.7548,150.1706
0.01,20000,0.6,0.8,12,234.6007,155.6747
0.01,20000,0.6,0.8,13,235.1577,151.6612
0.01,20000,0.6,0.8,14,234.2205,150.9804
0.01,20000,0.6,0.8,15,232.8929,152.5067
0.01,20000,0.6,0.8,16,233.9608,142.0175
0.01,20000,0.6,0.8,17,234.9195,153.5025
0.01,20000,0.6,0.8,18,235.0631,147.6009
0.01,20000,0.6,0.8,19,234.0425,147.577
0.01,20000,0.6,0.9,0,232.9776,157.9758
0.01,20000,0.6,0.9,1,233.8579,144.4798
0.01,20000,0.6,0.9,2,232.6834,142.4101
0.01,20000,0.6,0.9,3,233.6992,146.3892
0.01,20000,0.6,0.9,4,233.9657,141.9927
0.01,20000,0.6,0.9,5,233.9175,159.951
0.01,20000,0.6,0.9,6,235.0851,155.6205
0.01,20000,0.6,0.9,7,234.3715,149.8441
0.01,20000,0.6,0.9,8,235.0312,146.1463
0.01,20000,0.6,0.9,9,233.9668,146.8283
0.01,20000,0.6,0.9,10,235.8329,152.8631
0.01,20000,0.6,0.9,11,233.3105,156.1807
0.01,20000,0.6,0.9,12,232.9992,148.6014
0.01,20000,0.6,0.9,13,233.738,149.9335
0.01,20000,0.6,0.9,14,233.9816,147.1375
