b_p,n,p_M,h,run_index,active_set,majority
0.05,20000,0.5,0.6,18,385.0177,198.8601
0.05,20000,0.5,0.6,19,387.1475,187.602
0.05,20000,0.5,0.7,0,379.7983,192.5727
0.05,20000,0.5,0.7,1,386.0882,189.0994
0.05,20000,0.5,0.7,2,385.3278,208.3115
0.05,20000,0.5,0.7,3,390.2526,204.8269
0.05,20000,0.5,0.7,4,379.3954,185.5165
0.05,20000,0.5,0.7,5,376.7503,185.5876
0.05,20000,0.5,0.7,6,387.8373,198.6534
0.05,20000,0.5,0.7,7,397.145,197.7698
0.05,20000,0.5,0.7,8,394.3952,203.3907
0.05,20000,0.5,0.7,9,379.5801,193.8095
0.05,20000,0.5,0.7,10,389.4823,188.1634
0.05,20000,0.5,0.7,11,382.9418,176.3453
0.05,20000,0.5,0.7,12,384.6041,200.0185
0.05,20000,0.5,0.7,13,392.5319,194.7302
0.05,20000,0.5,0.7,14,381.9981,193.2458
0.05,20000,0.5,0.7,15,382.3434,185.982
0.05,20000,0.5,0.7,16,380.3519,195.7064
0.05,20000,0.5,0.7,17,387.2457,193.7684
0.05,20000,0.5,0.7,18,386.2255,201.8018
0.05,20000,0.5,0.7,19,394.6302,197.7728
0.05,20000,0.5,0.8,0,373.0834,187.5769
0.05,20000,0.5,0.8,1,377.0684,198.3765
0.05,20000,0.5,0.8,2,380.3131,199.2973
0.05,20000,0.5,0.8,3,378.3646,188.0406
0.05,20000,0.5,0.8,4,380.6474,186.4266
0.05,20000,0.5,0.8,5,376.2753,195.5406
0.05,20000,0.5,0.8,6,378.3923,173.3453
0.05,20000,0.5,0.8,7,393.9013,191.6239
0.05,20000,0.5,0.8,8,393.7071,197.8602
0.05,20000,0.5,0.8,9,383.044,185.8703
0.05,20000,0.5,0.8,10,389.8779,200.537
0.05,20000,0.5,0.8,11,386.1783,192.1095
0.05,20000,0.5,0.8,12,389.2857,202.7379
0.05,20000,0.5,0.8,13,386.6966,184.4547
0.05,20000,0.5,0.8,14,379.9961,192.1663
0.05,20000,0.5,0.8,15,386.9318,202.6415
0.05,20000,0.5,0.8,16,388.5506,215.1263
0.05,20000,0.5,0.8,17,378.3885,171.0941
0.05,20000,0.5,0.8,18,383.5899,186.5113
0.05,20000,0.5,0.8,19,393.5121,206.8186
0.05,20000,0.5,0.9,0,384.6239,186.5303
0.05,20000,0.5,0.9,1,385.0725,194.9336
0.05,20000,0.5,0.9,2,379.8111,190.7229
0.05,20000,0.5,0.9,3,385.6065,189.663
0.05,20000,0.5,0.9,4,387.5882,185.4946
0.05,20000,0.5,0.9,5,382.1153,189.1109
0.05,20000,0.5,0.9,6,389.6574,197.6656
0.05,20000,0.5,0.9,7,377.995,191.731
0.05,20000,0.5,0.9,8,384.0474,183.5274
0.05,20000,0.5,0.9,9,386.4622,187.5748
0.05,20000,0.5,0.9,10,387.8366,201.1215
0.05,20000,0.5,0.9,11,378.2969,204.0462
0.05,20000,0.5,0.9,12,376.6076,201.3312
0.05,20000,0.5,0.9,13,387.6184,195.3406
0.05,20000,0.5,0.9,14,388.444,198.3094
0.05,20000,0.5,0.9,15,382.5287,191.8457
0.05,20000,0.5,0.9,16,376.2574,198.3157
0.05,20000,0.5,0.9,17,384.5959,181.6215
0.05,20000,0.5,0.9,18,380.9967,205.1986
0.05,20000,0.5,0.9,19,379.9432,183.2518
0.05,20000,0.5,1.0,0,380.5083,183.6465
0.05,20000,0.5,1.0,1,380.1466,170.6074
0.05,20000,0.5,1.0,2,386.9224,179.1232
0.05,20000,0.5,1.0,3,382.2378,204.8709
0.05,20000,0.5,1.0,4,388.7441,200.7709
0.05,20000,0.5,1.0,5,373.0677,190.0999
0.05,20000,0.5,1.0,6,380.7546,192.5683
0.05,20000,0.5,1.0,7,384.068,180.4273
0.05,20000,0.5,1.0,8,381.9782,180.2002
0.05,20000,0.5,1.0,9,384.4828,194.6375
0.05,20000,0.5,1.0,10,385.107,194.1005
0.05,20000,0.5,1.0,11,369.3052,187.5481
0.05,20000,0.5,1.0,12,378.5817,176.3928
0.05,20000,0.5,1.0,13,387.7763,201.1395
0.05,20000,0.5,1.0,14,381.1484,175.2091
0.05,20000,0.5,1.0,15,377.6634,191.62
0.05,20000,0.5,1.0,16,386.3524,191.8234
0.05,20000,0.5,1.0,17,377.5129,185.5583
0.05,20000,0.5,1.0,18,380.8857,189.5254
0.05,20000,0.5,1.0,19,378.3929,198.4043
0.05,20000,0.6,0.5,0,385.4841,226.7622
0.05,20000,0.6,0.5,1,381.4876,229.8491
0.05,20000,0.6,0.5,2,384.3829,230.2808
0.05,20000,0.6,0.5,3,386.7622,246.9665
0.05,20000,0.6,0.5,4,382.7691,230.9146
0.05,20000,0.6,0.5,5,383.0271,238.6512
0.05,20000,0.6,0.5,6,391.6528,234.8592
0.05,20000,0.6,0.5,7,388.5407,229.2343
0.05,20000,0.6,0.5,8,379.2066,235.8768
0.05,20000,0.6,0.5,9,382.6314,225.8764
0.05,20000,0.6,0.5,10,379.1671,222.4876
0.05,20000,0.6,0.5,11,385.663,233.4839
0.05,20000,0.6,0.5,12,386.5968,233.1786
0.05,20000,0.6,0.5,13,385.1827,228.8518
0.05,20000,0.6,0.5,14,384.8976,227.6693
0.05,20000,0.6,0.5,15,382.0832,225.8247
0.05,20000,0.6,0.5,16,375.0587,224.986
0.05,20000,0.6,0.5,17,386.955,222.8895
0.05,20000,0.6,0.5,18,395.5728,240.3814
0.05,20000,0.6,0.5,19,384.7575,233.4688
0.05,20000,0.6,0.6,0,386.984,235.5882
0.05,20000,0.6,0.6,1,383.3127,232.0838
0.05,20000,0.6,0.6,2,392.1484,243.4483
0.05,20000,0.6,0.6,3,385.5801,225.0174
0.05,20000,0.6,0.6,4,381.2433,235.9376
0.05,20000,0.6,0.6,5,399.8384,248.6538
0.05,20000,0.6,0.6,6,387.0363,221.7515
0.05,20000,0.6,0.6,7,380.4935,230.9223
0.05,20000,0.6,0.6,8,386.4577,234.3714
0.05,20000,0.6,0.6,9,382.589,232.4443
0.05,20000,0.6,0.6,10,394.6057,249.765
0.05,20000,0.6,0.6,11,383.4794,227.4844
0.05,20000,0.6,0.6,12,376.4763,233.2176
0.05,20000,0.6,0.6,13,379.5519,238.1418
0.05,20000,0.6,0.6,14,385.1457,231.48
0.05,20000,0.6,0.6,15,385.5728,246.6778
0.05,20000,0.6,0.6,16,385.212,235.4661
0.05,20000,0.6,0.6,17,385.4981,228.1807
0.05,20000,0.6,0.6,18,386.7322,226.1671
0.05,20000,0.6,0.6,19,382.0719,242.8558
0.05,20000,0.6,0.7,0,372.6227,237.4777
0.05,20000,0.6,0.7,1,385.6873,240.9768
0.05,20000,0.6,0.7,2,377.2438,231.5683
0.05,20000,0.6,0.7,3,382.8903,236.1673
0.05,20000,0.6,0.7,4,385.3056,237.677
0.05,20000,0.6,0.7,5,383.6522,228.5746
0.05,20000,0.6,0.7,6,390.2244,258.2203
0.05,20000,0.6,0.7,7,387.4435,235.103
0.05,20000,0.6,0.7,8,384.1571,235.2772
0.05,20000,0.6,0.7,9,374.3187,234.7825
0.05,20000,0.6,0.7,10,385.7534,236.4738
0.05,20000,0.6,0.7,11,381.6669,232.4442
0.05,20000,0.6,0.7,12,377.6087,233.065
0.05,20000,0.6,0.7,13,378.3479,230.1159
0.05,20000,0.6,0.7,14,382.387,239.2651
0.05,20000,0.6,0.7,15,383.9897,234.8782
0.05,20000,0.6,0.7,16,387.3638,235.9011
0.05,20000,0.6,0.7,17,391.4944,254.9595
0.05,20000,0.6,0.7,18,386.8085,239.1535
0.05,20000,0.6,0.7,19,386.8734,228.9125
0.05,20000,0.6,0.8,0,387.0193,263.7113
0.05,20000,0.6,0.8,1,384.8289,239.6059
0.05,20000,0.6,0.8,2,389.0948,267.056
0.05,20000,0.6,0.8,3,381.8705,240.852
0.05,20000,0.6,0.8,4,383.9418,248.0653
0.05,20000,0.6,0.8,5,394.2097,253.1227
0.05,20000,0.6,0.8,6,387.3576,257.3443
0.05,20000,0.6,0.8,7,392.253,248.3881
0.05,20000,0.6,0.8,8,387.3799,244.9443
0.05,20000,0.6,0.8,9,384.0044,246.6501
0.05,20000,0.6,0.8,10,386.6412,243.3196
0.05,20000,0.6,0.8,11,381.9968,238.4191
0.05,20000,0.6,0.8,12,386.498,250.8424
0.05,20000,0.6,0.8,13,389.5098,255.5116
0.05,20000,0.6,0.8,14,385.1124,240.8753
0.05,20000,0.6,0.8,15,377.4871,247.0324
0.05,20000,0.6,0.8,16,382.9447,234.6744
0.05,20000,0.6,0.8,17,388.18,250.8592
0.05,20000,0.6,0.8,18,389.3708,252.5136
0.05,20000,0.6,0.8,19,384.288,244.5777
0.05,20000,0.6,0.9,0,379.8778,250.3647
0.05,20000,0.6,0.9,1,382.2784,241.9318
0.05,20000,0.6,0.9,2,375.5381,233.6216
0.05,20000,0.6,0.9,3,381.6695,239.2091
0.05,20000,0.6,0.9,4,382.9568,237.4203
0.05,20000,0.6,0.9,5,383.0083,256.3193
0.05,20000,0.6,0.9,6,388.6056,255.4698
0.05,20000,0.6,0.9,7,384.2503,240.6967
0.05,20000,0.6,0.9,8,388.8317,240.8271
0.05,20000,0.6,0.9,9,383.613,241.0118
0.05,20000,0.6,0.9,10,394.2012,248.3706
0.05,20000,0.6,0.9,11,379.9385,248.8197
0.05,20000,0.6,0.9,12,379.5592,237.7819
0.05,20000,0.6,0.9,13,381.8915,242.8497
0.05,20000,0.6,0.9,14,383.2024,240.909
0.05,20000,0.6,0.9,15,382.0644,234.1892
0.05,20000,0.6,0.9,16,387.3002,253.4238
0.05,20000,0.6,0.9,17,392.2782,243.6481
0.05,20000,0.6,0.9,18,386.3359,242.26
0.05,20000,0.6,0.9,19,387.3101,238.5038
0.05,20000,0.6,1.0,0,384.4704,231.4657
0.05,20000,0.6,1.0,1,385.3405,249.2439
0.05,20000,0.6,1.0,2,383.2278,249.3795
0.05,20000,0.6,1.0,3,387.9062,254.7459
0.05,20000,0.6,1.0,4,379.0506,231.0601
0.05,20000,0.6,1.0,5,382.9202,241.5188
0.05,20000,0.6,1.0,6,381.7937,258.0791
0.05,20000,0.6,1.0,7,388.1676,260.6167
0.05,20000,0.6,1.0,8,386.6307,251.0127
0.05,20000,0.6,1.0,9,385.2776,253.6158
0.05,20000,0.6,1.0,10,380.5222,241.1635
0.05,20000,0.6,1.0,11,385.56,258.221
0.05,20000,0.6,1.0,12,384.1461,263.6579
0.05,20000,0.6,1.0,13,378.7634,234.7393
0.05,20000,0.6,1.0,14,392.7712,247.5342
0.05,20000,0.6,1.0,15,377.1671,234.1388
0.05,20000,0.6,1.0,16,390.3999,245.3108
0.05,20000,0.6,1.0,17,395.4182,267.8448
0.05,20000,0.6,1.0,18,376.4115,236.1761
0.05,20000,0.6,1.0,19,384.8366,243.0172
0.05,20000,0.7,0.5,0,380.4863,280.3812
0.05,20000,0.7,0.5,1,385.8207,273.2934
0.05,20000,0.7,0.5,2,381.3266,259.428
0.05,20000,0.7,0.5,3,390.4404,272.581
0.05,20000,0.7,0.5,4,383.9562,260.4714
0.05,20000,0.7,0.5,5,387.7431,279.2371
0.05,20000,0.7,0.5,6,385.818,273.9081
0.05,20000,0.7,0.5,7,384.0954,268.1418
0.05,20000,0.7,0.5,8,381.9294,261.1154
0.05,20000,0.7,0.5,9,385.8972,273.4999
0.05,20000,0.7,0.5,10,382.2265,274.2787
0.05,20000,0.7,0.5,11,381.139,261.971
0.05,20000,0.7,0.5,12,383.901,281.2935
0.05,20000,0.7,0.5,13,384.4795,262.2081
0.05,20000,0.7,0.5,14,382.3479,263.1692
0.05,20000,0.7,0.5,15,385.5468,267.1556
0.05,20000,0.7,0.5,16,381.7685,256.3176
0.05,20000,0.7,0.5,17,385.8136,285.7521
0.05,20000,0.7,0.5,18,379.5752,262.4862
0.05,20000,0.7,0.5,19,380.2606,268.1256
0.05,20000,0.7,0.6,0,384.0461,274.3306
0.05,20000,0.7,0.6,1,386.9714,271.7027
0.05,20000,0.7,0.6,2,385.6205,273.7222
0.05,20000,0.7,0.6,3,391.1712,283.0889
0.05,20000,0.7,0.6,4,383.334,262.483
0.05,20000,0.7,0.6,5,380.2235,279.5978
0.05,20000,0.7,0.6,6,393.994,292.0569
0.05,20000,0.7,0.6,7,389.2422,278.8025
0.05,20000,0.7,0.6,8,379.7425,273.355
0.05,20000,0.7,0.6,9,392.2064,276.4698
0.05,20000,0.7,0.6,10,384.3211,280.8202
0.05,20000,0.7,0.6,11,384.9507,284.7957
0.05,20000,0.7,0.6,12,387.8541,282.5246
0.05,20000,0.7,0.6,13,387.0212,282.5881
0.05,20000,0.7,0.6,14,389.2011,272.9662
0.05,20000,0.7,0.6,15,383.2187,276.6415
0.05,20000,0.7,0.6,16,381.0055,265.8771
0.05,20000,0.7,0.6,17,391.03,279.2459
0.05,20000,0.7,0.6,18,373.2283,269.5931
0.05,20000,0.7,0.6,19,384.9614,276.8589
0.05,20000,0.7,0.7,0,387.6073,286.8384
0.05,20000,0.7,0.7,1,385.0781,281.3937
0.05,20000,0.7,0.7,2,388.6279,292.8521
0.05,20000,0.7,0.7,3,385.3907,292.8107
0.05,20000,0.7,0.7,4,388.876,274.4256
0.05,20000,0.7,0.7,5,377.0797,279.6594
0.05,20000,0.7,0.7,6,386.5682,289.0661
0.05,20000,0.7,0.7,7,385.4046,294.8606
0.05,20000,0.7,0.7,8,381.9164,274.4489
0.05,20000,0.7,0.7,9,386.4506,291.4815
0.05,20000,0.7,0.7,10,388.3734,285.7002
0.05,20000,0.7,0.7,11,381.6842,267.6042
0.05,20000,0.7,0.7,12,389.1033,276.6913
0.05,20000,0.7,0.7,13,382.8775,284.9737
0.05,20000,0.7,0.7,14,394.3895,292.5319
0.05,20000,0.7,0.7,15,385.9795,284.6627
0.05,20000,0.7,0.7,16,383.5637,291.4079
0.05,20000,0.7,0.7,17,378.5853,270.5182
0.05,20000,0.7,0.7,18,382.7378,281.7547
0.05,20000,0.7,0.7,19,388.1717,302.058
0.05,20000,0.7,0.8,0,381.3996,282.708
0.05,20000,0.7,0.8,1,382.2393,294.369
0.05,20000,0.7,0.8,2,392.5237,290.5203
0.05,20000,0.7,0.8,3,392.722,297.2987
0.05,20000,0.7,0.8,4,386.4427,286.1848
0.05,20000,0.7,0.8,5,383.6683,290.7773
0.05,20000,0.7,0.8,6,392.7119,291.7468
0.05,20000,0.7,0.8,7,387.7259,286.4861
0.05,20000,0.7,0.8,8,384.5982,300.7169
0.05,20000,0.7,0.8,9,391.234,293.8132
0.05,20000,0.7,0.8,10,386.2333,288.6893
0.05,20000,0.7,0.8,11,387.5397,299.9486
0.05,20000,0.7,0.8,12,395.2185,298.1677
0.05,20000,0.7,0.8,13,381.6712,287.9736
0.05,20000,0.7,0.8,14,387.765,292.4521
0.05,20000,0.7,0.8,15,389.8193,290.9018
0.05,20000,0.7,0.8,16,387.5661,296.469
0.05,20000,0.7,0.8,17,394.0259,315.1228
0.05,20000,0.7,0.8,18,384.9001,291.2472
0.05,20000,0.7,0.8,19,385.872,296.4985
0.05,20000,0.7,0.9,0,392.4156,303.9133
0.05,20000,0.7,0.9,1,389.7867,307.9806
0.05,20000,0.7,0.9,2,390.7196,307.534
0.05,20000,0.7,0.9,3,382.1727,292.4791
0.05,20000,0.7,0.9,4,381.9445,291.6693
0.05,20000,0.7,0.9,5,386.1384,311.4051
0.05,20000,0.7,0.9,6,391.4393,298.1019
0.05,20000,0.7,0.9,7,389.6679,305.7072
0.05,20000,0.7,0.9,8,378.5282,284.766
0.05,20000,0.7,0.9,9,385.9721,293.5945
0.05,20000,0.7,0.9,10,385.9077,298.8225
0.05,20000,0.7,0.9,11,380.4257,299.8044
0.05,20000,0.7,0.9,12,391.8626,299.0737
0.05,20000,0.7,0.9,13,383.4132,290.3144
0.05,20000,0.7,0.9,14,383.3123,287.1739
0.05,20000,0.7,0.9,15,386.1877,278.2237
0.05,20000,0.7,0.9,16,385.681,290.884
0.05,20000,0.7,0.9,17,391.2482,308.8449
0.05,20000,0.7,0.9,18,384.5261,294.599
0.05,20000,0.7,0.9,19,391.6434,296.5559
0.05,20000,0.7,1.0,0,383.1449,290.929
0.05,20000,0.7,1.0,1,394.8252,300.5765
0.05,20000,0.7,1.0,2,390.6624,295.8401
0.05,20000,0.7,1.0,3,389.6058,298.0273
0.05,20000,0.7,1.0,4,396.8125,301.2586
0.05,20000,0.7,1.0,5,390.9349,306.2026
0.05,20000,0.7,1.0,6,385.483,303.4169
0.05,20000,0.7,1.0,7,384.5993,305.0189
0.05,20000,0.7,1.0,8,386.2626,297.9841
0.05,20000,0.7,1.0,9,384.3954,280.4317
0.05,20000,0.7,1.0,10,392.1051,297.2385
0.05,20000,0.7,1.0,11,385.535,287.335
0.05,20000,0.7,1.0,12,387.8538,299.2698
0.05,20000,0.7,1.0,13,386.834,288.6995
0.05,20000,0.7,1.0,14,395.0503,302.453
0.05,20000,0.7,1.0,15,383.3426,297.4476
0.05,20000,0.7,1.0,16,389.9005,296.3831
0.05,20000,0.7,1.0,17,384.8292,307.6659
0.05,20000,0.7,1.0,18,383.0823,291.0468
0.05,20000,0.7,1.0,19,394.2449,306.7692
0.05,20000,0.8,0.5,0,379.8734,297.4881
0.05,20000,0.8,0.5,1,379.5985,301.3487
0.05,20000,0.8,0.5,2,381.1789,292.6768
0.05,20000,0.8,0.5,3,383.0943,298.8838
0.05,20000,0.8,0.5,4,383.1129,300.2553
0.05,20000,0.8,0.5,5,389.8171,306.8452
0.05,20000,0.8,0.5,6,383.9507,307.8755
0.05,20000,0.8,0.5,7,385.8933,306.9632
0.05,20000,0.8,0.5,8,377.3258,298.3292
0.05,20000,0.8,0.5,9,385.1782,310.8514
0.05,20000,0.8,0.5,10,383.3065,303.4694
0.05,20000,0.8,0.5,11,382.7898,295.2943
0.05,20000,0.8,0.5,12,380.123,300.0439
0.05,20000,0.8,0.5,13,383.0457,304.7417
0.05,20000,0.8,0.5,14,382.2746,299.287
0.05,20000,0.8,0.5,15,388.8575,306.7412
0.05,20000,0.8,0.5,16,384.791,304.3332
0.05,20000,0.8,0.5,17,391.6845,316.6862
0.05,20000,0.8,0.5,18,387.3343,309.8414
0.05,20000,0.8,0.5,19,382.0511,300.9332
0.05,20000,0.8,0.6,0,392.026,317.7533
0.05,20000,0.8,0.6,1,389.7516,313.3383
0.05,20000,0.8,0.6,2,394.7841,324.6979
0.05,20000,0.8,0.6,3,384.5665,311.8489
0.05,20000,0.8,0.6,4,382.6006,308.2705
0.05,20000,0.8,0.6,5,388.1973,328.033
0.05,20000,0.8,0.6,6,384.3222,312.3555
0.05,20000,0.8,0.6,7,383.8964,318.3415
0.05,20000,0.8,0.6,8,392.0011,321.4065
0.05,20000,0.8,0.6,9,387.034,319.6326
0.05,20000,0.8,0.6,10,386.9817,318.7377
0.05,20000,0.8,0.6,11,378.5068,315.6917
0.05,20000,0.8,0.6,12,389.999,315.272
0.05,20000,0.8,0.6,13,390.7247,320.8977
0.05,20000,0.8,0.6,14,386.9909,319.1659
0.05,20000,0.8,0.6,15,393.6493,326.1283
0.05,20000,0.8,0.6,16,374.4075,310.6079
0.05,20000,0.8,0.6,17,389.8299,320.5346
0.05,20000,0.8,0.6,18,396.6406,338.5082
0.05,20000,0.8,0.6,19,389.1009,320.0353
0.05,20000,0.8,0.7,0,383.4725,322.0545
0.05,20000,0.8,0.7,1,382.3895,330.1823
0.05,20000,0.8,0.7,2,390.7045,332.7045
0.05,20000,0.8,0.7,3,394.7703,336.0578
0.05,20000,0.8,0.7,4,383.8411,326.5299
0.05,20000,0.8,0.7,5,385.4034,325.4354
0.05,20000,0.8,0.7,6,394.0916,319.0628
0.05,20000,0.8,0.7,7,394.2589,342.9148
0.05,20000,0.8,0.7,8,385.4055,325.7188
0.05,20000,0.8,0.7,9,395.7949,335.3405
0.05,20000,0.8,0.7,10,387.1379,322.1049
0.05,20000,0.8,0.7,11,386.2131,327.1427
0.05,20000,0.8,0.7,12,386.8143,330.7657
0.05,20000,0.8,0.7,13,386.2508,316.3146
0.05,20000,0.8,0.7,14,391.8351,339.3286
0.05,20000,0.8,0.7,15,377.533,319.6562
0.05,20000,0.8,0.7,16,392.6951,334.0339
0.05,20000,0.8,0.7,17,384.9589,321.9351
0.05,20000,0.8,0.7,18,393.0828,334.2676
0.05,20000,0.8,0.7,19,399.6963,341.9276
0.05,20000,0.8,0.8,0,392.6371,341.5836
0.05,20000,0.8,0.8,1,391.1457,334.5603
0.05,20000,0.8,0.8,2,386.2939,320.3002
0.05,20000,0.8,0.8,3,386.6093,323.6949
0.05,20000,0.8,0.8,4,394.1294,342.5468
0.05,20000,0.8,0.8,5,389.9534,332.0381
0.05,20000,0.8,0.8,6,394.4076,343.6604
0.05,20000,0.8,0.8,7,395.104,331.3844
0.05,20000,0.8,0.8,8,394.8895,347.6495
0.05,20000,0.8,0.8,9,392.2438,336.0697
0.05,20000,0.8,0.8,10,392.39,336.8271
0.05,20000,0.8,0.8,11,394.209,339.6877
0.05,20000,0.8,0.8,12,396.4911,342.2127
0.05,20000,0.8,0.8,13,389.9114,322.4829
0.05,20000,0.8,0.8,14,389.6379,330.0266
0.05,20000,0.8,0.8,15,391.6912,342.8089
0.05,20000,0.8,0.8,16,385.8574,323.1856
0.05,20000,0.8,0.8,17,392.7499,347.4501
0.05,20000,0.8,0.8,18,392.5835,332.3275
0.05,20000,0.8,0.8,19,396.9008,343.664
0.05,20000,0.8,0.9,0,394.2477,334.0385
0.05,20000,0.8,0.9,1,390.4642,329.4214
0.05,20000,0.8,0.9,2,388.5052,339.6164
0.05,20000,0.8,0.9,3,393.5408,345.8893
0.05,20000,0.8,0.9,4,394.4385,342.0439
0.05,20000,0.8,0.9,5,388.9739,343.7082
0.05,20000,0.8,0.9,6,397.7893,353.8351
0.05,20000,0.8,0.9,7,400.4291,342.8621
0.05,20000,0.8,0.9,8,389.6908,335.1737
0.05,20000,0.8,0.9,9,387.0923,342.943
0.05,20000,0.8,0.9,10,391.9394,334.387
0.05,20000,0.8,0.9,11,395.7444,340.1579
0.05,20000,0.8,0.9,12,396.3175,347.1923
0.05,20000,0.8,0.9,13,401.7502,344.6473
0.05,20000,0.8,0.9,14,393.9502,343.5548
0.05,20000,0.8,0.9,15,392.4878,343.5162
0.05,20000,0.8,0.9,16,396.7772,346.6652
0.05,20000,0.8,0.9,17,394.4769,338.9324
0.05,20000,0.8,0.9,18,397.2479,344.3699
0.05,20000,0.8,0.9,19,393.975,337.4644
0.05,20000,0.8,1.0,0,393.4624,345.2261
0.05,20000,0.8,1.0,1,391.0514,335.6507
0.05,20000,0.8,1.0,2,397.3413,347.5782
0.05,20000,0.8,1.0,3,399.1029,345.3821
0.05,20000,0.8,1.0,4,392.7103,351.4028
0.05,20000,0.8,1.0,5,391.1008,344.4046
0.05,20000,0.8,1.0,6,393.4587,346.3209
0.05,20000,0.8,1.0,7,389.7935,345.2869
0.05,20000,0.8,1.0,8,398.312,354.9138
0.05,20000,0.8,1.0,9,398.3272,354.6413
0.05,20000,0.8,1.0,10,391.7194,339.0175
0.05,20000,0.8,1.0,11,395.6643,343.3798
0.05,20000,0.8,1.0,12,395.6536,352.863
0.05,20000,0.8,1.0,13,400.8913,363.0657
0.05,20000,0.8,1.0,14,391.6012,336.0229
0.05,20000,0.8,1.0,15,387.0816,338.578
0.05,20000,0.8,1.0,16,396.6152,350.4275
0.05,20000,0.8,1.0,17,388.4552,339.7022
0.05,20000,0.8,1.0,18,386.9863,341.8719
0.05,20000,0.8,1.0,19,398.0244,351.2824
0.1,20000,0.5,0.5,0,614.7427,299.1257
0.1,20000,0.5,0.5,1,600.0083,291.6011
0.1,20000,0.5,0.5,2,607.3868,310.9688
0.1,20000,0.5,0.5,3,589.6774,300.1861
0.1,20000,0.5,0.5,4,600.8558,296.9644
0.1,20000,0.5,0.5,5,603.0601,298.7423
0.1,20000,0.5,0.5,6,598.1358,304.1509
0.1,20000,0.5,0.5,7,612.1418,307.4968
0.1,20000,0.5,0.5,8,609.4555,309.0533
0.1,20000,0.5,0.5,9,598.3385,310.7285
0.1,20000,0.5,0.5,10,614.9363,303.0749
0.1,20000,0.5,0.5,11,604.5009,296.2641
0.1,20000,0.5,0.5,12,603.3867,306.3584
0.1,20000,0.5,0.5,13,604.9216,295.655
0.1,20000,0.5,0.5,14,626.6087,312.6836
0.1,20000,0.5,0.5,15,614.7078,304.3578
0.1,20000,0.5,0.5,16,596.899,311.1527
0.1,20000,0.5,0.5,17,599.6407,303.4592
0.1,20000,0.5,0.5,18,593.5882,296.0554
0.1,20000,0.5,0.5,19,604.6344,306.215
0.1,20000,0.5,0.6,0,594.4475,284.846
0.1,20000,0.5,0.6,1,607.614,301.3191
0.1,20000,0.5,0.6,2,599.134,296.7474
0.1,20000,0.5,0.6,3,619.0868,317.7658
0.1,20000,0.5,0.6,4,608.0478,299.3501
0.1,20000,0.5,0.6,5,612.3615,307.3891
0.1,20000,0.5,0.6,6,604.0987,302.8075
0.1,20000,0.5,0.6,7,590.5266,284.5869
0.1,20000,0.5,0.6,8,606.9037,293.5261
0.1,20000,0.5,0.6,9,608.7667,308.8604
0.1,20000,0.5,0.6,10,602.8564,298.4166
0.1,20000,0.5,0.6,11,613.3719,309.3188
0.1,20000,0.5,0.6,12,606.8768,308.3248
0.1,20000,0.5,0.6,13,608.0961,303.55
0.1,20000,0.5,0.6,14,609.7086,318.5083
0.1,20000,0.5,0.6,15,620.7358,316.1511
0.1,20000,0.5,0.6,16,605.0349,304.457
0.1,20000,0.5,0.6,17,598.9322,301.4098
0.1,20000,0.5,0.6,18,604.195,306.4856
0.1,20000,0.5,0.6,19,613.5219,305.9557
0.1,20000,0.5,0.7,0,598.9037,305.0055
0.1,20000,0.5,0.7,1,612.138,306.42
0.1,20000,0.5,0.7,2,610.3314,321.7411
0.1,20000,0.5,0.7,3,617.673,317.5582
0.1,20000,0.5,0.7,4,598.1754,297.2085
0.1,20000,0.5,0.7,5,592.4569,291.3568
0.1,20000,0.5,0.7,6,614.3902,309.2034
0.1,20000,0.5,0.7,7,632.6992,318.069
0.1,20000,0.5,0.7,8,628.1526,322.8183
0.1,20000,0.5,0.7,9,597.6364,311.3183
0.1,20000,0.5,0.7,10,616.1776,300.8809
0.1,20000,0.5,0.7,11,605.8364,281.2607
0.1,20000,0.5,0.7,12,608.8827,314.8118
0.1,20000,0.5,0.7,13,627.2244,310.1308
0.1,20000,0.5,0.7,14,602.8916,301.9354
0.1,20000,0.5,0.7,15,600.9626,295.8014
0.1,20000,0.5,0.7,16,597.3792,298.0529
0.1,20000,0.5,0.7,17,612.6195,309.0377
0.1,20000,0.5,0.7,18,612.6281,325.6507
0.1,20000,0.5,0.7,19,632.1954,318.0024
0.1,20000,0.5,0.8,0,583.297,289.8028
0.1,20000,0.5,0.8,1,592.9404,308.2645
0.1,20000,0.5,0.8,2,598.3332,313.037
0.1,20000,0.5,0.8,3,596.4537,293.5254
0.1,20000,0.5,0.8,4,600.8698,294.0931
0.1,20000,0.5,0.8,5,591.8627,306.004
0.1,20000,0.5,0.8,6,594.2278,276.0664
0.1,20000,0.5,0.8,7,627.7319,309.291
0.1,20000,0.5,0.8,8,627.3804,314.9261
0.1,20000,0.5,0.8,9,606.8471,299.6826
0.1,20000,0.5,0.8,10,619.4533,317.1252
0.1,20000,0.5,0.8,11,608.6973,297.2361
0.1,20000,0.5,0.8,12,617.6297,323.0782
0.1,20000,0.5,0.8,13,610.7727,295.5355
0.1,20000,0.5,0.8,14,597.8355,294.2739
0.1,20000,0.5,0.8,15,614.9762,317.1526
0.1,20000,0.5,0.8,16,619.1705,332.771
0.1,20000,0.5,0.8,17,592.6838,280.6334
0.1,20000,0.5,0.8,18,606.6439,292.4781
