b_p,n,p_M,run_index,active_set,majority
0.01,20000,0.7,19,239.7919,173.4674
0.01,20000,0.8,0,240.5769,188.9314
0.01,20000,0.8,1,239.0247,182.4089
0.01,20000,0.8,2,240.5927,186.5577
0.01,20000,0.8,3,240.2327,193.366
0.01,20000,0.8,4,240.0951,197.0242
0.01,20000,0.8,5,239.9155,195.4006
0.01,20000,0.8,6,239.0389,172.569
0.01,20000,0.8,7,239.6179,198.6037
0.01,20000,0.8,8,240.2509,183.5897
0.01,20000,0.8,9,240.0708,183.5086
0.01,20000,0.8,10,240.1052,193.0842
0.01,20000,0.8,11,240.123,199.9181
0.01,20000,0.8,12,239.2252,188.7163
0.01,20000,0.8,13,240.6988,190.7505
0.01,20000,0.8,14,240.6512,189.838
0.01,20000,0.8,15,238.8837,186.8792
0.01,20000,0.8,16,242.3031,198.0959
0.01,20000,0.8,17,238.1066,184.8419
0.01,20000,0.8,18,239.5894,190.6325
0.01,20000,0.8,19,240.4814,185.8959
0.05,15000,0.5,0,381.6721,184.5693
0.05,15000,0.5,1,374.8328,188.3232
0.05,15000,0.5,2,383.7933,194.8518
0.05,15000,0.5,3,380.7706,191.3521
0.05,15000,0.5,4,377.4622,187.6797
0.05,15000,0.5,5,389.5102,183.4548
0.05,15000,0.5,6,379.3505,191.6272
0.05,15000,0.5,7,370.7517,181.3477
0.05,15000,0.5,8,381.1263,198.561
0.05,15000,0.5,9,381.7475,185.5305
0.05,15000,0.5,10,384.5107,195.7775
0.05,15000,0.5,11,380.7729,189.3287
0.05,15000,0.5,12,383.3487,192.3038
0.05,15000,0.5,13,378.8833,186.576
0.05,15000,0.5,14,384.6384,196.1002
0.05,15000,0.5,15,380.7759,192.3
0.05,15000,0.5,16,382.4653,190.5093
0.05,15000,0.5,17,381.946,191.3607
0.05,15000,0.5,18,384.0357,194.4313
0.05,15000,0.5,19,388.8732,193.9008
0.05,15000,0.6,0,377.7032,219.3838
0.05,15000,0.6,1,374.3788,215.1319
0.05,15000,0.6,2,387.8965,248.7514
0.05,15000,0.6,3,388.3846,235.6178
0.05,15000,0.6,4,395.2479,227.892
0.05,15000,0.6,5,384.8155,218.5784
0.05,15000,0.6,6,376.9037,226.4606
0.05,15000,0.6,7,383.0468,226.7384
0.05,15000,0.6,8,383.9488,241.6589
0.05,15000,0.6,9,392.1942,243.0768
0.05,15000,0.6,10,382.1638,218.5616
0.05,15000,0.6,11,386.0148,237.4926
0.05,15000,0.6,12,383.0664,233.6542
0.05,15000,0.6,13,380.5115,228.6855
0.05,15000,0.6,14,381.408,234.6935
0.05,15000,0.6,15,381.1091,236.6355
0.05,15000,0.6,16,387.451,231.5671
0.05,15000,0.6,17,384.1594,243.7183
0.05,15000,0.6,18,379.0576,232.5225
0.05,15000,0.6,19,380.553,234.0371
0.05,15000,0.7,0,378.8799,268.8139
0.05,15000,0.7,1,385.719,265.4731
0.05,15000,0.7,2,382.1768,275.6144
0.05,15000,0.7,3,387.8989,272.005
0.05,15000,0.7,4,382.3278,262.9364
0.05,15000,0.7,5,385.3142,270.078
0.05,15000,0.7,6,381.6256,274.7919
0.05,15000,0.7,7,384.1502,253.8294
0.05,15000,0.7,8,385.9678,264.7792
0.05,15000,0.7,9,380.0322,254.8976
0.05,15000,0.7,10,388.7112,269.2126
0.05,15000,0.7,11,377.2791,266.8121
0.05,15000,0.7,12,390.7589,280.3621
0.05,15000,0.7,13,385.4238,264.577
0.05,15000,0.7,14,381.913,260.4617
0.05,15000,0.7,15,368.6798,261.0718
0.05,15000,0.7,16,381.7961,278.2483
0.05,15000,0.7,17,378.2347,266.4076
0.05,15000,0.7,18,376.7039,267.9841
0.05,15000,0.7,19,383.2284,274.4587
0.05,15000,0.8,0,383.2745,307.3097
0.05,15000,0.8,1,383.7276,299.627
0.05,15000,0.8,2,384.1622,309.6348
0.05,15000,0.8,3,371.8551,302.2717
0.05,15000,0.8,4,383.9262,311.2913
0.05,15000,0.8,5,383.2151,314.5763
0.05,15000,0.8,6,381.824,308.5162
0.05,15000,0.8,7,380.4763,313.6545
0.05,15000,0.8,8,383.6041,309.0967
0.05,15000,0.8,9,385.7356,307.5231
0.05,15000,0.8,10,383.8478,310.4599
0.05,15000,0.8,11,376.6144,292.9861
0.05,15000,0.8,12,388.5157,305.3295
0.05,15000,0.8,13,384.1581,308.5309
0.05,15000,0.8,14,379.0924,303.2334
0.05,15000,0.8,15,379.8118,299.9643
0.05,15000,0.8,16,389.1166,309.2383
0.05,15000,0.8,17,383.6327,300.3076
0.05,15000,0.8,18,377.8164,307.6079
0.05,15000,0.8,19,388.1913,312.5019
0.05,20000,0.5,0,416.7548,218.6384
0.05,20000,0.5,1,410.5819,202.969
0.05,20000,0.5,2,410.3334,200.836
0.05,20000,0.5,3,414.5552,212.271
0.05,20000,0.5,4,413.3197,218.3022
0.05,20000,0.5,5,404.1623,215.1525
0.05,20000,0.5,6,404.8705,205.2221
0.05,20000,0.5,7,405.7291,209.5405
0.05,20000,0.5,8,411.0097,198.4679
0.05,20000,0.5,9,407.117,208.4637
0.05,20000,0.5,10,409.7354,214.3377
