b_p,network,h_p,lambda,gamma,run_index,active_set,majority
0.01,hersheycareers,0.5,1.0,0.6,9,332.443,205.934
0.01,hersheycareers,0.5,1.0,0.7,0,332.926,234.526
0.01,hersheycareers,0.5,1.0,0.7,1,332.636,233.89
0.01,hersheycareers,0.5,1.0,0.7,2,332.806,234.536
0.01,hersheycareers,0.5,1.0,0.7,3,333.277,233.8
0.01,hersheycareers,0.5,1.0,0.7,4,332.715,234.212
0.01,hersheycareers,0.5,1.0,0.7,5,332.707,234.145
0.01,hersheycareers,0.5,1.0,0.7,6,332.643,234.318
0.01,hersheycareers,0.5,1.0,0.7,7,332.497,233.568
0.01,hersheycareers,0.5,1.0,0.7,8,332.978,234.346
0.01,hersheycareers,0.5,1.0,0.7,9,333.158,234.976
0.01,hersheycareers,0.5,1.0,0.8,0,332.317,260.83
0.01,hersheycareers,0.5,1.0,0.8,1,332.567,261.156
0.01,hersheycareers,0.5,1.0,0.8,2,332.417,260.678
0.01,hersheycareers,0.5,1.0,0.8,3,332.132,260.743
0.01,hersheycareers,0.5,1.0,0.8,4,331.573,260.229
0.01,hersheycareers,0.5,1.0,0.8,5,331.92,260.374
0.01,hersheycareers,0.5,1.0,0.8,6,332.377,260.017
0.01,hersheycareers,0.5,1.0,0.8,7,332.437,260.164
0.01,hersheycareers,0.5,1.0,0.8,8,332.43,261.024
0.01,hersheycareers,0.5,1.0,0.8,9,332.56,261.449
0.01,hersheycareers,0.5,1.0,0.9,0,329.887,278.483
0.01,hersheycareers,0.5,1.0,0.9,1,329.287,277.884
0.01,hersheycareers,0.5,1.0,0.9,2,330.686,277.997
0.01,hersheycareers,0.5,1.0,0.9,3,328.902,279.483
0.01,hersheycareers,0.5,1.0,0.9,4,330.714,278.305
0.01,hersheycareers,0.5,1.0,0.9,5,330.647,278.131
0.01,hersheycareers,0.5,1.0,0.9,6,329.802,279.306
0.01,hersheycareers,0.5,1.0,0.9,7,330.143,279.359
0.01,hersheycareers,0.5,1.0,0.9,8,329.901,278.945
0.01,hersheycareers,0.5,1.0,0.9,9,330.497,277.903
0.01,hersheycareers,0.8,0.0,0.1,0,334.077,259.913
0.01,hersheycareers,0.8,0.0,0.1,1,334.07,260.164
0.01,hersheycareers,0.8,0.0,0.1,2,333.959,261.137
0.01,hersheycareers,0.8,0.0,0.1,3,334.374,261.271
0.01,hersheycareers,0.8,0.0,0.1,4,333.953,263.002
0.01,hersheycareers,0.8,0.0,0.1,5,334.507,260.199
0.01,hersheycareers,0.8,0.0,0.1,6,334.78,263.704
0.01,hersheycareers,0.8,0.0,0.1,7,333.885,262.953
0.01,hersheycareers,0.8,0.0,0.1,8,333.963,257.714
0.01,hersheycareers,0.8,0.0,0.1,9,334.016,258.91
0.01,hersheycareers,0.8,0.0,0.2,0,333.935,261.827
0.01,hersheycareers,0.8,0.0,0.2,1,334.67,259.44
0.01,hersheycareers,0.8,0.0,0.2,2,334.447,262.217
0.01,hersheycareers,0.8,0.0,0.2,3,334.025,263.875
0.01,hersheycareers,0.8,0.0,0.2,4,334.547,261.595
0.01,hersheycareers,0.8,0.0,0.2,5,334.14,260.862
0.01,hersheycareers,0.8,0.0,0.2,6,334.483,261.572
0.01,hersheycareers,0.8,0.0,0.2,7,333.611,261.787
0.01,hersheycareers,0.8,0.0,0.2,8,333.905,261.831
0.01,hersheycareers,0.8,0.0,0.2,9,334.028,259.119
0.01,hersheycareers,0.8,0.0,0.3,0,333.971,263.914
0.01,hersheycareers,0.8,0.0,0.3,1,333.707,259.81
0.01,hersheycareers,0.8,0.0,0.3,2,334.021,260.092
0.01,hersheycareers,0.8,0.0,0.3,3,334.245,262.949
0.01,hersheycareers,0.8,0.0,0.3,4,334.144,262.288
0.01,hersheycareers,0.8,0.0,0.3,5,334.066,260.151
0.01,hersheycareers,0.8,0.0,0.3,6,333.997,263.913
0.01,hersheycareers,0.8,0.0,0.3,7,335.282,259.962
0.01,hersheycareers,0.8,0.0,0.3,8,333.736,259.918
0.01,hersheycareers,0.8,0.0,0.3,9,334.18,262.763
0.01,hersheycareers,0.8,0.0,0.4,0,334.064,261.146
0.01,hersheycareers,0.8,0.0,0.4,1,333.91,261.936
0.01,hersheycareers,0.8,0.0,0.4,2,333.613,261.534
0.01,hersheycareers,0.8,0.0,0.4,3,333.98,258.719
0.01,hersheycareers,0.8,0.0,0.4,4,333.998,260.124
0.01,hersheycareers,0.8,0.0,0.4,5,334.335,262.143
0.01,hersheycareers,0.8,0.0,0.4,6,334.354,260.352
0.01,hersheycareers,0.8,0.0,0.4,7,334.596,258.329
0.01,hersheycareers,0.8,0.0,0.4,8,334.203,263.112
0.01,hersheycareers,0.8,0.0,0.4,9,333.582,257.562
0.01,hersheycareers,0.8,0.0,0.5,0,333.887,258.445
0.01,hersheycareers,0.8,0.0,0.5,1,334.5,262.981
0.01,hersheycareers,0.8,0.0,0.5,2,333.873,262.965
0.01,hersheycareers,0.8,0.0,0.5,3,333.988,259.651
0.01,hersheycareers,0.8,0.0,0.5,4,334.051,261.039
0.01,hersheycareers,0.8,0.0,0.5,5,334.46,263.203
0.01,hersheycareers,0.8,0.0,0.5,6,333.407,260.462
0.01,hersheycareers,0.8,0.0,0.5,7,333.664,257.632
0.01,hersheycareers,0.8,0.0,0.5,8,333.578,262.622
0.01,hersheycareers,0.8,0.0,0.5,9,333.222,260.299
0.01,hersheycareers,0.8,0.0,0.6,0,333.701,261.628
0.01,hersheycareers,0.8,0.0,0.6,1,333.556,262.608
0.01,hersheycareers,0.8,0.0,0.6,2,334.15,260.032
0.01,hersheycareers,0.8,0.0,0.6,3,333.355,259.655
0.01,hersheycareers,0.8,0.0,0.6,4,333.841,259.171
0.01,hersheycareers,0.8,0.0,0.6,5,333.932,263.019
0.01,hersheycareers,0.8,0.0,0.6,6,334.285,263.184
0.01,hersheycareers,0.8,0.0,0.6,7,334.501,263.394
0.01,hersheycareers,0.8,0.0,0.6,8,333.502,260.356
0.01,hersheycareers,0.8,0.0,0.6,9,333.693,259.761
0.01,hersheycareers,0.8,0.0,0.7,0,333.768,260.569
0.01,hersheycareers,0.8,0.0,0.7,1,333.929,259.132
0.01,hersheycareers,0.8,0.0,0.7,2,333.959,261.126
0.01,hersheycareers,0.8,0.0,0.7,3,334.571,262.11
0.01,hersheycareers,0.8,0.0,0.7,4,333.004,262.106
0.01,hersheycareers,0.8,0.0,0.7,5,333.74,263.812
0.01,hersheycareers,0.8,0.0,0.7,6,334.136,260.143
0.01,hersheycareers,0.8,0.0,0.7,7,333.813,259.82
0.01,hersheycareers,0.8,0.0,0.7,8,334.113,259.926
0.01,hersheycareers,0.8,0.0,0.7,9,334.332,259.127
0.01,hersheycareers,0.8,0.0,0.8,0,333.61,261.508
0.01,hersheycareers,0.8,0.0,0.8,1,333.905,261.591
0.01,hersheycareers,0.8,0.0,0.8,2,334.246,262.088
0.01,hersheycareers,0.8,0.0,0.8,3,333.429,264.285
0.01,hersheycareers,0.8,0.0,0.8,4,334.402,259.368
0.01,hersheycareers,0.8,0.0,0.8,5,334.092,263.306
0.01,hersheycareers,0.8,0.0,0.8,6,334.001,259.98
0.01,hersheycareers,0.8,0.0,0.8,7,333.719,261.228
0.01,hersheycareers,0.8,0.0,0.8,8,334.297,259.207
0.01,hersheycareers,0.8,0.0,0.8,9,334.553,259.423
0.01,hersheycareers,0.8,0.0,0.9,0,334.606,261.39
0.01,hersheycareers,0.8,0.0,0.9,1,334.034,256.949
0.01,hersheycareers,0.8,0.0,0.9,2,333.472,258.784
0.01,hersheycareers,0.8,0.0,0.9,3,333.985,260.97
0.01,hersheycareers,0.8,0.0,0.9,4,333.977,263.04
0.01,hersheycareers,0.8,0.0,0.9,5,333.438,258.461
0.01,hersheycareers,0.8,0.0,0.9,6,333.837,260.705
0.01,hersheycareers,0.8,0.0,0.9,7,334.442,262.379
0.01,hersheycareers,0.8,0.0,0.9,8,333.938,262.878
0.01,hersheycareers,0.8,0.0,0.9,9,333.74,261.064
0.01,hersheycareers,0.8,0.2,0.1,0,323.872,146.554
0.01,hersheycareers,0.8,0.2,0.1,1,323.465,146.312
0.01,hersheycareers,0.8,0.2,0.1,2,323.626,145.655
0.01,hersheycareers,0.8,0.2,0.1,3,323.935,146.711
0.01,hersheycareers,0.8,0.2,0.1,4,323.349,146.247
0.01,hersheycareers,0.8,0.2,0.1,5,324.096,147.916
0.01,hersheycareers,0.8,0.2,0.1,6,324.631,148.95
0.01,hersheycareers,0.8,0.2,0.1,7,323.557,146.341
0.01,hersheycareers,0.8,0.2,0.1,8,324.548,149.204
0.01,hersheycareers,0.8,0.2,0.1,9,324.042,147.909
0.01,hersheycareers,0.8,0.2,0.2,0,327.157,162.719
0.01,hersheycareers,0.8,0.2,0.2,1,327.33,161.615
0.01,hersheycareers,0.8,0.2,0.2,2,326.932,159.505
0.01,hersheycareers,0.8,0.2,0.2,3,327.119,161.583
0.01,hersheycareers,0.8,0.2,0.2,4,326.623,159.943
0.01,hersheycareers,0.8,0.2,0.2,5,326.455,160.031
0.01,hersheycareers,0.8,0.2,0.2,6,327.514,162.027
0.01,hersheycareers,0.8,0.2,0.2,7,327.567,163.065
0.01,hersheycareers,0.8,0.2,0.2,8,327.372,160.595
0.01,hersheycareers,0.8,0.2,0.2,9,327.078,161.14
0.01,hersheycareers,0.8,0.2,0.3,0,329.268,174.402
0.01,hersheycareers,0.8,0.2,0.3,1,329.089,175.098
0.01,hersheycareers,0.8,0.2,0.3,2,328.974,174.148
0.01,hersheycareers,0.8,0.2,0.3,3,329.518,175.734
0.01,hersheycareers,0.8,0.2,0.3,4,328.325,172.705
0.01,hersheycareers,0.8,0.2,0.3,5,328.596,172.816
0.01,hersheycareers,0.8,0.2,0.3,6,329.497,174.529
0.01,hersheycareers,0.8,0.2,0.3,7,329.233,175.403
0.01,hersheycareers,0.8,0.2,0.3,8,329.12,175.297
0.01,hersheycareers,0.8,0.2,0.3,9,329.395,174.4
0.01,hersheycareers,0.8,0.2,0.4,0,330.448,187.343
0.01,hersheycareers,0.8,0.2,0.4,1,330.541,188.457
0.01,hersheycareers,0.8,0.2,0.4,2,330.862,187.69
0.01,hersheycareers,0.8,0.2,0.4,3,330.878,188.019
0.01,hersheycareers,0.8,0.2,0.4,4,330.906,184.881
0.01,hersheycareers,0.8,0.2,0.4,5,330.686,189.871
0.01,hersheycareers,0.8,0.2,0.4,6,331.02,189.131
0.01,hersheycareers,0.8,0.2,0.4,7,331.151,186.618
0.01,hersheycareers,0.8,0.2,0.4,8,330.495,188.492
0.01,hersheycareers,0.8,0.2,0.4,9,331.278,188.27
0.01,hersheycareers,0.8,0.2,0.5,0,332.162,204.828
0.01,hersheycareers,0.8,0.2,0.5,1,332.891,206.57
0.01,hersheycareers,0.8,0.2,0.5,2,332.7,206.256
0.01,hersheycareers,0.8,0.2,0.5,3,332.309,204.175
0.01,hersheycareers,0.8,0.2,0.5,4,332.4,206.422
0.01,hersheycareers,0.8,0.2,0.5,5,332.244,204.273
0.01,hersheycareers,0.8,0.2,0.5,6,332.058,204.535
0.01,hersheycareers,0.8,0.2,0.5,7,332.533,205.369
0.01,hersheycareers,0.8,0.2,0.5,8,332.222,205.05
0.01,hersheycareers,0.8,0.2,0.5,9,332.217,206.027
0.01,hersheycareers,0.8,0.2,0.6,0,333.285,222.963
0.01,hersheycareers,0.8,0.2,0.6,1,332.747,223.695
0.01,hersheycareers,0.8,0.2,0.6,2,332.685,222.254
0.01,hersheycareers,0.8,0.2,0.6,3,333.266,222.677
0.01,hersheycareers,0.8,0.2,0.6,4,332.902,222.801
0.01,hersheycareers,0.8,0.2,0.6,5,332.753,222.519
0.01,hersheycareers,0.8,0.2,0.6,6,332.662,221.408
0.01,hersheycareers,0.8,0.2,0.6,7,333.357,222.925
0.01,hersheycareers,0.8,0.2,0.6,8,333.352,224.19
0.01,hersheycareers,0.8,0.2,0.6,9,333.778,223.466
0.01,hersheycareers,0.8,0.2,0.7,0,333.85,243.832
0.01,hersheycareers,0.8,0.2,0.7,1,334.194,245.782
0.01,hersheycareers,0.8,0.2,0.7,2,333.458,244.107
0.01,hersheycareers,0.8,0.2,0.7,3,334.128,244.979
0.01,hersheycareers,0.8,0.2,0.7,4,333.438,243.55
0.01,hersheycareers,0.8,0.2,0.7,5,334.44,245.435
0.01,hersheycareers,0.8,0.2,0.7,6,333.401,243.295
0.01,hersheycareers,0.8,0.2,0.7,7,334.02,244.726
0.01,hersheycareers,0.8,0.2,0.7,8,334.363,244.238
0.01,hersheycareers,0.8,0.2,0.7,9,333.472,243.504
0.01,hersheycareers,0.8,0.2,0.8,0,334.512,264.268
0.01,hersheycareers,0.8,0.2,0.8,1,333.739,263.915
0.01,hersheycareers,0.8,0.2,0.8,2,334.543,265.536
0.01,hersheycareers,0.8,0.2,0.8,3,333.86,264.553
0.01,hersheycareers,0.8,0.2,0.8,4,333.552,263.484
0.01,hersheycareers,0.8,0.2,0.8,5,334.404,265.199
0.01,hersheycareers,0.8,0.2,0.8,6,333.866,265.738
0.01,hersheycareers,0.8,0.2,0.8,7,334.069,265.026
0.01,hersheycareers,0.8,0.2,0.8,8,334.638,265.457
0.01,hersheycareers,0.8,0.2,0.8,9,334.377,264.576
0.01,hersheycareers,0.8,0.2,0.9,0,334.275,283.745
0.01,hersheycareers,0.8,0.2,0.9,1,333.088,282.556
0.01,hersheycareers,0.8,0.2,0.9,2,333.892,283.132
0.01,hersheycareers,0.8,0.2,0.9,3,333.358,284.033
0.01,hersheycareers,0.8,0.2,0.9,4,333.556,283.047
0.01,hersheycareers,0.8,0.2,0.9,5,333.361,283.76
0.01,hersheycareers,0.8,0.2,0.9,6,333.403,284.789
0.01,hersheycareers,0.8,0.2,0.9,7,333.449,284.862
0.01,hersheycareers,0.8,0.2,0.9,8,333.312,282.786
0.01,hersheycareers,0.8,0.2,0.9,9,333.603,283.115
0.01,hersheycareers,0.8,0.5,0.1,0,316.51,123.899
0.01,hersheycareers,0.8,0.5,0.1,1,315.701,121.933
0.01,hersheycareers,0.8,0.5,0.1,2,315.505,123.166
0.01,hersheycareers,0.8,0.5,0.1,3,316.336,124.659
0.01,hersheycareers,0.8,0.5,0.1,4,315.384,122.244
0.01,hersheycareers,0.8,0.5,0.1,5,315.684,123.24
0.01,hersheycareers,0.8,0.5,0.1,6,315.569,122.1
0.01,hersheycareers,0.8,0.5,0.1,7,315.998,123.404
0.01,hersheycareers,0.8,0.5,0.1,8,315.553,121.839
0.01,hersheycareers,0.8,0.5,0.1,9,315.485,121.963
0.01,hersheycareers,0.8,0.5,0.2,0,322.645,141.585
0.01,hersheycareers,0.8,0.5,0.2,1,321.623,139.562
0.01,hersheycareers,0.8,0.5,0.2,2,321.866,140.977
0.01,hersheycareers,0.8,0.5,0.2,3,322.424,141.258
0.01,hersheycareers,0.8,0.5,0.2,4,321.87,142.021
0.01,hersheycareers,0.8,0.5,0.2,5,322.189,139.889
0.01,hersheycareers,0.8,0.5,0.2,6,321.511,139.303
0.01,hersheycareers,0.8,0.5,0.2,7,322.172,141.198
0.01,hersheycareers,0.8,0.5,0.2,8,322.498,141.324
0.01,hersheycareers,0.8,0.5,0.2,9,321.743,139.672
0.01,hersheycareers,0.8,0.5,0.3,0,325.951,156.269
0.01,hersheycareers,0.8,0.5,0.3,1,325.777,155.405
0.01,hersheycareers,0.8,0.5,0.3,2,325.634,153.98
0.01,hersheycareers,0.8,0.5,0.3,3,325.616,155.27
0.01,hersheycareers,0.8,0.5,0.3,4,325.826,154.322
0.01,hersheycareers,0.8,0.5,0.3,5,326.426,155.732
0.01,hersheycareers,0.8,0.5,0.3,6,326.148,156.645
0.01,hersheycareers,0.8,0.5,0.3,7,326.318,154.646
0.01,hersheycareers,0.8,0.5,0.3,8,326.579,156.99
0.01,hersheycareers,0.8,0.5,0.3,9,325.776,156.451
0.01,hersheycareers,0.8,0.5,0.4,0,328.36,171.918
0.01,hersheycareers,0.8,0.5,0.4,1,328.617,172.819
0.01,hersheycareers,0.8,0.5,0.4,2,328.726,171.941
0.01,hersheycareers,0.8,0.5,0.4,3,329.051,171.244
0.01,hersheycareers,0.8,0.5,0.4,4,328.67,170.962
0.01,hersheycareers,0.8,0.5,0.4,5,328.729,171.989
0.01,hersheycareers,0.8,0.5,0.4,6,328.625,171.665
0.01,hersheycareers,0.8,0.5,0.4,7,328.571,170.761
0.01,hersheycareers,0.8,0.5,0.4,8,328.266,172.104
0.01,hersheycareers,0.8,0.5,0.4,9,328.84,171.056
0.01,hersheycareers,0.8,0.5,0.5,0,331.112,191.091
0.01,hersheycareers,0.8,0.5,0.5,1,331.674,191.387
0.01,hersheycareers,0.8,0.5,0.5,2,330.791,191.766
0.01,hersheycareers,0.8,0.5,0.5,3,331.474,190.493
0.01,hersheycareers,0.8,0.5,0.5,4,331.19,190.154
0.01,hersheycareers,0.8,0.5,0.5,5,331.258,190.206
0.01,hersheycareers,0.8,0.5,0.5,6,330.79,189.654
0.01,hersheycareers,0.8,0.5,0.5,7,330.64,189.39
0.01,hersheycareers,0.8,0.5,0.5,8,331.001,192.2
0.01,hersheycareers,0.8,0.5,0.5,9,331.641,191.504
0.01,hersheycareers,0.8,0.5,0.6,0,332.569,214.469
0.01,hersheycareers,0.8,0.5,0.6,1,333.379,214.723
0.01,hersheycareers,0.8,0.5,0.6,2,332.247,214.029
0.01,hersheycareers,0.8,0.5,0.6,3,332.537,214.575
0.01,hersheycareers,0.8,0.5,0.6,4,332.982,214.646
0.01,hersheycareers,0.8,0.5,0.6,5,332.024,212.938
0.01,hersheycareers,0.8,0.5,0.6,6,332.577,214.391
0.01,hersheycareers,0.8,0.5,0.6,7,333.212,214.186
0.01,hersheycareers,0.8,0.5,0.6,8,332.884,214.673
0.01,hersheycareers,0.8,0.5,0.6,9,333.312,216.13
0.01,hersheycareers,0.8,0.5,0.7,0,334.419,240.06
0.01,hersheycareers,0.8,0.5,0.7,1,334.176,240.944
0.01,hersheycareers,0.8,0.5,0.7,2,333.985,239.696
0.01,hersheycareers,0.8,0.5,0.7,3,333.197,238.35
0.01,hersheycareers,0.8,0.5,0.7,4,333.892,239.424
0.01,hersheycareers,0.8,0.5,0.7,5,333.736,239.444
0.01,hersheycareers,0.8,0.5,0.7,6,333.818,239.613
0.01,hersheycareers,0.8,0.5,0.7,7,334.218,240.073
0.01,hersheycareers,0.8,0.5,0.7,8,333.899,239.666
0.01,hersheycareers,0.8,0.5,0.7,9,333.785,239.411
0.01,hersheycareers,0.8,0.5,0.8,0,333.404,264.33
0.01,hersheycareers,0.8,0.5,0.8,1,333.988,266.074
0.01,hersheycareers,0.8,0.5,0.8,2,335.112,266.827
0.01,hersheycareers,0.8,0.5,0.8,3,334.23,265.553
0.01,hersheycareers,0.8,0.5,0.8,4,333.651,265.596
0.01,hersheycareers,0.8,0.5,0.8,5,333.676,265.714
0.01,hersheycareers,0.8,0.5,0.8,6,334.125,265.995
0.01,hersheycareers,0.8,0.5,0.8,7,334.938,265.782
0.01,hersheycareers,0.8,0.5,0.8,8,333.84,264.864
0.01,hersheycareers,0.8,0.5,0.8,9,334.076,266.055
0.01,hersheycareers,0.8,0.5,0.9,0,332.43,289.311
0.01,hersheycareers,0.8,0.5,0.9,1,332.897,289.44
0.01,hersheycareers,0.8,0.5,0.9,2,332.787,288.697
0.01,hersheycareers,0.8,0.5,0.9,3,333.25,289.145
0.01,hersheycareers,0.8,0.5,0.9,4,332.825,289.38
0.01,hersheycareers,0.8,0.5,0.9,5,333.345,289.784
0.01,hersheycareers,0.8,0.5,0.9,6,333.156,288.937
0.01,hersheycareers,0.8,0.5,0.9,7,333.117,289.562
0.01,hersheycareers,0.8,0.5,0.9,8,333.563,288.204
0.01,hersheycareers,0.8,0.5,0.9,9,332.977,289.648
0.01,hersheycareers,0.8,0.8,0.1,0,311.39,112.2
0.01,hersheycareers,0.8,0.8,0.1,1,310.042,110.655
0.01,hersheycareers,0.8,0.8,0.1,2,310.07,111.017
0.01,hersheycareers,0.8,0.8,0.1,3,309.651,110.803
0.01,hersheycareers,0.8,0.8,0.1,4,309.722,109.869
0.01,hersheycareers,0.8,0.8,0.1,5,310.177,110.268
0.01,hersheycareers,0.8,0.8,0.1,6,309.878,109.678
0.01,hersheycareers,0.8,0.8,0.1,7,309.503,109.565
0.01,hersheycareers,0.8,0.8,0.1,8,310.497,111.18
0.01,hersheycareers,0.8,0.8,0.1,9,310.597,111.348
0.01,hersheycareers,0.8,0.8,0.2,0,319.379,131.516
0.01,hersheycareers,0.8,0.8,0.2,1,319.269,130.525
0.01,hersheycareers,0.8,0.8,0.2,2,318.612,129.95
0.01,hersheycareers,0.8,0.8,0.2,3,318.717,130.885
0.01,hersheycareers,0.8,0.8,0.2,4,317.86,129.324
0.01,hersheycareers,0.8,0.8,0.2,5,318.74,131.262
0.01,hersheycareers,0.8,0.8,0.2,6,318.559,129.723
0.01,hersheycareers,0.8,0.8,0.2,7,318.67,129.838
0.01,hersheycareers,0.8,0.8,0.2,8,318.81,129.831
0.01,hersheycareers,0.8,0.8,0.2,9,319.763,131.764
0.01,hersheycareers,0.8,0.8,0.3,0,324.287,147.131
0.01,hersheycareers,0.8,0.8,0.3,1,323.987,146.823
0.01,hersheycareers,0.8,0.8,0.3,2,324.171,146.89
0.01,hersheycareers,0.8,0.8,0.3,3,323.689,146.645
0.01,hersheycareers,0.8,0.8,0.3,4,324.387,149.096
0.01,hersheycareers,0.8,0.8,0.3,5,324.749,149.303
0.01,hersheycareers,0.8,0.8,0.3,6,324.799,149.402
0.01,hersheycareers,0.8,0.8,0.3,7,324.816,149.382
0.01,hersheycareers,0.8,0.8,0.3,8,324.266,148.77
0.01,hersheycareers,0.8,0.8,0.3,9,323.972,147.716
0.01,hersheycareers,0.8,0.8,0.4,0,327.994,166.165
0.01,hersheycareers,0.8,0.8,0.4,1,327.806,166.139
0.01,hersheycareers,0.8,0.8,0.4,2,328.623,166.821
0.01,hersheycareers,0.8,0.8,0.4,3,327.253,165.5
0.01,hersheycareers,0.8,0.8,0.4,4,327.848,165.052
0.01,hersheycareers,0.8,0.8,0.4,5,327.719,166.239
0.01,hersheycareers,0.8,0.8,0.4,6,327.588,164.638
0.01,hersheycareers,0.8,0.8,0.4,7,327.77,164.913
0.01,hersheycareers,0.8,0.8,0.4,8,327.961,165.19
0.01,hersheycareers,0.8,0.8,0.4,9,328.183,166.399
0.01,hersheycareers,0.8,0.8,0.5,0,330.387,186.33
0.01,hersheycareers,0.8,0.8,0.5,1,330.487,185.657
0.01,hersheycareers,0.8,0.8,0.5,2,330.594,185.48
0.01,hersheycareers,0.8,0.8,0.5,3,330.743,185.698
0.01,hersheycareers,0.8,0.8,0.5,4,330.504,185.749
0.01,hersheycareers,0.8,0.8,0.5,5,330.559,186.702
0.01,hersheycareers,0.8,0.8,0.5,6,330.785,186.797
0.01,hersheycareers,0.8,0.8,0.5,7,330.582,184.606
0.01,hersheycareers,0.8,0.8,0.5,8,331.104,187.916
0.01,hersheycareers,0.8,0.8,0.5,9,330.809,185.887
0.01,hersheycareers,0.8,0.8,0.6,0,332.365,210.18
0.01,hersheycareers,0.8,0.8,0.6,1,332.637,211.394
0.01,hersheycareers,0.8,0.8,0.6,2,333.031,211.871
0.01,hersheycareers,0.8,0.8,0.6,3,333.129,210.902
0.01,hersheycareers,0.8,0.8,0.6,4,332.73,211.628
0.01,hersheycareers,0.8,0.8,0.6,5,332.81,211.597
0.01,hersheycareers,0.8,0.8,0.6,6,332.146,211.035
0.01,hersheycareers,0.8,0.8,0.6,7,332.577,211.069
0.01,hersheycareers,0.8,0.8,0.6,8,332.751,210.58
0.01,hersheycareers,0.8,0.8,0.6,9,332.745,210.578
0.01,hersheycareers,0.8,0.8,0.7,0,333.424,237.241
0.01,hersheycareers,0.8,0.8,0.7,1,333.647,238.517
0.01,hersheycareers,0.8,0.8,0.7,2,333.477,238.391
0.01,hersheycareers,0.8,0.8,0.7,3,333.653,238.302
0.01,hersheycareers,0.8,0.8,0.7,4,334.039,238.651
0.01,hersheycareers,0.8,0.8,0.7,5,333.685,238.482
0.01,hersheycareers,0.8,0.8,0.7,6,333.97,238.756
0.01,hersheycareers,0.8,0.8,0.7,7,333.927,238.416
0.01,hersheycareers,0.8,0.8,0.7,8,333.752,237.416
0.01,hersheycareers,0.8,0.8,0.7,9,333.503,238.47
0.01,hersheycareers,0.8,0.8,0.8,0,333.726,265.875
0.01,hersheycareers,0.8,0.8,0.8,1,334.107,265.943
0.01,hersheycareers,0.8,0.8,0.8,2,333.831,265.762
0.01,hersheycareers,0.8,0.8,0.8,3,334.426,266.292
0.01,hersheycareers,0.8,0.8,0.8,4,334.025,266.047
0.01,hersheycareers,0.8,0.8,0.8,5,334.033,266.099
0.01,hersheycareers,0.8,0.8,0.8,6,333.658,265.838
0.01,hersheycareers,0.8,0.8,0.8,7,334.005,265.915
0.01,hersheycareers,0.8,0.8,0.8,8,334.175,266.327
0.01,hersheycareers,0.8,0.8,0.8,9,333.654,265.855
0.01,hersheycareers,0.8,0.8,0.9,0,333.571,291.193
0.01,hersheycareers,0.8,0.8,0.9,1,332.48,291.465
0.01,hersheycareers,0.8,0.8,0.9,2,333.375,290.981
0.01,hersheycareers,0.8,0.8,0.9,3,333.141,290.946
0.01,hersheycareers,0.8,0.8,0.9,4,332.896,290.702
0.01,hersheycareers,0.8,0.8,0.9,5,333.148,290.981
0.01,hersheycareers,0.8,0.8,0.9,6,332.71,290.734
0.01,hersheycareers,0.8,0.8,0.9,7,333.039,290.88
0.01,hersheycareers,0.8,0.8,0.9,8,332.106,291.081
0.01,hersheycareers,0.8,0.8,0.9,9,332.677,290.463
0.01,hersheycareers,0.8,1.0,0.1,0,307.344,105.411
0.01,hersheycareers,0.8,1.0,0.1,1,307.57,105.795
0.01,hersheycareers,0.8,1.0,0.1,2,308.973,107.923
0.01,hersheycareers,0.8,1.0,0.1,3,308.082,107.381
0.01,hersheycareers,0.8,1.0,0.1,4,307.418,105.539
0.01,hersheycareers,0.8,1.0,0.1,5,308.796,107.878
0.01,hersheycareers,0.8,1.0,0.1,6,308.884,107.917
0.01,hersheycareers,0.8,1.0,0.1,7,308.006,105.958
0.01,hersheycareers,0.8,1.0,0.1,8,308.662,107.466
0.01,hersheycareers,0.8,1.0,0.1,9,308.866,107.798
0.01,hersheycareers,0.8,1.0,0.2,0,318.24,128.69
0.01,hersheycareers,0.8,1.0,0.2,1,317.913,128.05
0.01,hersheycareers,0.8,1.0,0.2,2,317.22,126.564
0.01,hersheycareers,0.8,1.0,0.2,3,317.733,127.128
0.01,hersheycareers,0.8,1.0,0.2,4,318.524,129.784
0.01,hersheycareers,0.8,1.0,0.2,5,317.687,128.006
0.01,hersheycareers,0.8,1.0,0.2,6,317.526,126.893
0.01,hersheycareers,0.8,1.0,0.2,7,317.697,127.091
0.01,hersheycareers,0.8,1.0,0.2,8,317.435,127.96
0.01,hersheycareers,0.8,1.0,0.2,9,317.798,128.14
0.01,hersheycareers,0.8,1.0,0.3,0,323.323,145.18
0.01,hersheycareers,0.8,1.0,0.3,1,324.011,145.842
0.01,hersheycareers,0.8,1.0,0.3,2,322.274,142.974
0.01,hersheycareers,0.8,1.0,0.3,3,323.367,145.283
0.01,hersheycareers,0.8,1.0,0.3,4,323.347,145.079
0.01,hersheycareers,0.8,1.0,0.3,5,322.276,143.43
0.01,hersheycareers,0.8,1.0,0.3,6,322.449,142.219
0.01,hersheycareers,0.8,1.0,0.3,7,323.273,144.007
0.01,hersheycareers,0.8,1.0,0.3,8,323.091,145.04
0.01,hersheycareers,0.8,1.0,0.3,9,323.276,144.317
0.01,hersheycareers,0.8,1.0,0.4,0,327.156,162.496
0.01,hersheycareers,0.8,1.0,0.4,1,327.044,162.343
