b_p,network,h_p,lambda,gamma,run_index,active_set,majority
0.01,hersheycareers,0.5,0.2,0.1,6,324.613,133.654
0.01,hersheycareers,0.5,0.2,0.1,7,324.581,135.051
0.01,hersheycareers,0.5,0.2,0.1,8,324.469,133.703
0.01,hersheycareers,0.5,0.2,0.1,9,324.299,133.449
0.01,hersheycareers,0.5,0.2,0.2,0,327.512,146.651
0.01,hersheycareers,0.5,0.2,0.2,1,327.831,150.748
0.01,hersheycareers,0.5,0.2,0.2,2,327.963,149.871
0.01,hersheycareers,0.5,0.2,0.2,3,327.216,148.301
0.01,hersheycareers,0.5,0.2,0.2,4,328.023,150.142
0.01,hersheycareers,0.5,0.2,0.2,5,327.054,147.382
0.01,hersheycareers,0.5,0.2,0.2,6,327.628,146.071
0.01,hersheycareers,0.5,0.2,0.2,7,328.331,149.913
0.01,hersheycareers,0.5,0.2,0.2,8,328.331,150.164
0.01,hersheycareers,0.5,0.2,0.2,9,327.645,147.725
0.01,hersheycareers,0.5,0.2,0.3,0,329.279,160.435
0.01,hersheycareers,0.5,0.2,0.3,1,329.07,158.21
0.01,hersheycareers,0.5,0.2,0.3,2,328.808,159.129
0.01,hersheycareers,0.5,0.2,0.3,3,329.104,158.478
0.01,hersheycareers,0.5,0.2,0.3,4,329.757,160.622
0.01,hersheycareers,0.5,0.2,0.3,5,329.071,161.058
0.01,hersheycareers,0.5,0.2,0.3,6,328.656,160.815
0.01,hersheycareers,0.5,0.2,0.3,7,329.273,162.619
0.01,hersheycareers,0.5,0.2,0.3,8,329.386,161.602
0.01,hersheycareers,0.5,0.2,0.3,9,328.916,160.23
0.01,hersheycareers,0.5,0.2,0.4,0,331.045,175.397
0.01,hersheycareers,0.5,0.2,0.4,1,330.551,173.899
0.01,hersheycareers,0.5,0.2,0.4,2,329.979,173.7
0.01,hersheycareers,0.5,0.2,0.4,3,330.634,174.233
0.01,hersheycareers,0.5,0.2,0.4,4,330.854,175.655
0.01,hersheycareers,0.5,0.2,0.4,5,331.202,175.456
0.01,hersheycareers,0.5,0.2,0.4,6,330.159,173.778
0.01,hersheycareers,0.5,0.2,0.4,7,330.48,174.945
0.01,hersheycareers,0.5,0.2,0.4,8,330.747,173.422
0.01,hersheycareers,0.5,0.2,0.4,9,330.144,174.668
0.01,hersheycareers,0.5,0.2,0.5,0,331.764,193.426
0.01,hersheycareers,0.5,0.2,0.5,1,331.431,192.639
0.01,hersheycareers,0.5,0.2,0.5,2,331.441,192.233
0.01,hersheycareers,0.5,0.2,0.5,3,331.764,193.237
0.01,hersheycareers,0.5,0.2,0.5,4,330.923,192.806
0.01,hersheycareers,0.5,0.2,0.5,5,331.375,194.378
0.01,hersheycareers,0.5,0.2,0.5,6,331.71,192.529
0.01,hersheycareers,0.5,0.2,0.5,7,331.757,193.133
0.01,hersheycareers,0.5,0.2,0.5,8,331.575,194.628
0.01,hersheycareers,0.5,0.2,0.5,9,331.848,193.778
0.01,hersheycareers,0.5,0.2,0.6,0,332.451,213.477
0.01,hersheycareers,0.5,0.2,0.6,1,332.536,214.732
0.01,hersheycareers,0.5,0.2,0.6,2,332.555,214.28
0.01,hersheycareers,0.5,0.2,0.6,3,332.692,213.196
0.01,hersheycareers,0.5,0.2,0.6,4,331.917,214.508
0.01,hersheycareers,0.5,0.2,0.6,5,331.748,214.55
0.01,hersheycareers,0.5,0.2,0.6,6,332.001,215.08
0.01,hersheycareers,0.5,0.2,0.6,7,332.936,216.284
0.01,hersheycareers,0.5,0.2,0.6,8,332.606,215.241
0.01,hersheycareers,0.5,0.2,0.6,9,332.578,215.355
0.01,hersheycareers,0.5,0.2,0.7,0,333.003,234.868
0.01,hersheycareers,0.5,0.2,0.7,1,332.997,236.701
0.01,hersheycareers,0.5,0.2,0.7,2,332.601,236.181
0.01,hersheycareers,0.5,0.2,0.7,3,332.721,237.204
0.01,hersheycareers,0.5,0.2,0.7,4,332.632,236.807
0.01,hersheycareers,0.5,0.2,0.7,5,333.054,236.623
0.01,hersheycareers,0.5,0.2,0.7,6,333.022,236.315
0.01,hersheycareers,0.5,0.2,0.7,7,332.444,233.596
0.01,hersheycareers,0.5,0.2,0.7,8,332.518,235.675
0.01,hersheycareers,0.5,0.2,0.7,9,332.538,235.344
0.01,hersheycareers,0.5,0.2,0.8,0,332.541,254.82
0.01,hersheycareers,0.5,0.2,0.8,1,332.617,255.034
0.01,hersheycareers,0.5,0.2,0.8,2,332.728,254.168
0.01,hersheycareers,0.5,0.2,0.8,3,332.717,254.687
0.01,hersheycareers,0.5,0.2,0.8,4,332.729,253.572
0.01,hersheycareers,0.5,0.2,0.8,5,332.657,254.413
0.01,hersheycareers,0.5,0.2,0.8,6,332.514,254.303
0.01,hersheycareers,0.5,0.2,0.8,7,332.113,254.336
0.01,hersheycareers,0.5,0.2,0.8,8,332.482,254.286
0.01,hersheycareers,0.5,0.2,0.8,9,332.647,254.732
0.01,hersheycareers,0.5,0.2,0.9,0,331.551,272.05
0.01,hersheycareers,0.5,0.2,0.9,1,331.112,269.635
0.01,hersheycareers,0.5,0.2,0.9,2,331.89,268.542
0.01,hersheycareers,0.5,0.2,0.9,3,331.701,268.274
0.01,hersheycareers,0.5,0.2,0.9,4,331.763,268.629
0.01,hersheycareers,0.5,0.2,0.9,5,332.35,270.234
0.01,hersheycareers,0.5,0.2,0.9,6,332.013,269.722
0.01,hersheycareers,0.5,0.2,0.9,7,331.887,268.446
0.01,hersheycareers,0.5,0.2,0.9,8,331.666,268.85
0.01,hersheycareers,0.5,0.2,0.9,9,332.252,269.812
0.01,hersheycareers,0.5,0.5,0.1,0,317.872,114.09
0.01,hersheycareers,0.5,0.5,0.1,1,317.667,113.068
0.01,hersheycareers,0.5,0.5,0.1,2,318.348,114.42
0.01,hersheycareers,0.5,0.5,0.1,3,318.14,114.173
0.01,hersheycareers,0.5,0.5,0.1,4,317.66,113.283
0.01,hersheycareers,0.5,0.5,0.1,5,318.489,115.31
0.01,hersheycareers,0.5,0.5,0.1,6,317.629,113.037
0.01,hersheycareers,0.5,0.5,0.1,7,318.041,113.888
0.01,hersheycareers,0.5,0.5,0.1,8,318.624,114.788
0.01,hersheycareers,0.5,0.5,0.1,9,317.855,113.543
0.01,hersheycareers,0.5,0.5,0.2,0,323.785,130.636
0.01,hersheycareers,0.5,0.5,0.2,1,324.015,131.557
0.01,hersheycareers,0.5,0.5,0.2,2,324.332,129.259
0.01,hersheycareers,0.5,0.5,0.2,3,324.208,132.546
0.01,hersheycareers,0.5,0.5,0.2,4,324.427,130.808
0.01,hersheycareers,0.5,0.5,0.2,5,324.495,131.9
0.01,hersheycareers,0.5,0.5,0.2,6,323.027,129.093
0.01,hersheycareers,0.5,0.5,0.2,7,323.943,131.398
0.01,hersheycareers,0.5,0.5,0.2,8,323.429,129.723
0.01,hersheycareers,0.5,0.5,0.2,9,322.969,129.822
0.01,hersheycareers,0.5,0.5,0.3,0,327.092,145.313
0.01,hersheycareers,0.5,0.5,0.3,1,327.0,146.397
0.01,hersheycareers,0.5,0.5,0.3,2,327.386,145.756
0.01,hersheycareers,0.5,0.5,0.3,3,326.501,142.909
0.01,hersheycareers,0.5,0.5,0.3,4,327.107,144.567
0.01,hersheycareers,0.5,0.5,0.3,5,327.155,144.987
0.01,hersheycareers,0.5,0.5,0.3,6,327.021,144.186
0.01,hersheycareers,0.5,0.5,0.3,7,326.727,145.253
0.01,hersheycareers,0.5,0.5,0.3,8,326.675,143.473
0.01,hersheycareers,0.5,0.5,0.3,9,326.834,144.212
0.01,hersheycareers,0.5,0.5,0.4,0,329.554,160.864
0.01,hersheycareers,0.5,0.5,0.4,1,329.391,160.675
0.01,hersheycareers,0.5,0.5,0.4,2,329.119,162.277
0.01,hersheycareers,0.5,0.5,0.4,3,329.902,162.906
0.01,hersheycareers,0.5,0.5,0.4,4,329.261,159.747
0.01,hersheycareers,0.5,0.5,0.4,5,328.834,161.617
0.01,hersheycareers,0.5,0.5,0.4,6,328.929,162.23
0.01,hersheycareers,0.5,0.5,0.4,7,329.426,160.644
0.01,hersheycareers,0.5,0.5,0.4,8,329.506,161.266
0.01,hersheycareers,0.5,0.5,0.4,9,329.702,161.654
0.01,hersheycareers,0.5,0.5,0.5,0,332.146,184.181
0.01,hersheycareers,0.5,0.5,0.5,1,331.457,182.838
0.01,hersheycareers,0.5,0.5,0.5,2,331.168,182.438
0.01,hersheycareers,0.5,0.5,0.5,3,331.487,183.165
0.01,hersheycareers,0.5,0.5,0.5,4,330.622,182.163
0.01,hersheycareers,0.5,0.5,0.5,5,330.798,181.075
0.01,hersheycareers,0.5,0.5,0.5,6,330.647,182.002
0.01,hersheycareers,0.5,0.5,0.5,7,331.172,182.596
0.01,hersheycareers,0.5,0.5,0.5,8,331.574,182.406
0.01,hersheycareers,0.5,0.5,0.5,9,330.599,181.785
0.01,hersheycareers,0.5,0.5,0.6,0,332.099,207.527
0.01,hersheycareers,0.5,0.5,0.6,1,332.445,207.706
0.01,hersheycareers,0.5,0.5,0.6,2,332.366,208.527
0.01,hersheycareers,0.5,0.5,0.6,3,332.269,208.0
0.01,hersheycareers,0.5,0.5,0.6,4,332.398,208.562
0.01,hersheycareers,0.5,0.5,0.6,5,332.439,207.815
0.01,hersheycareers,0.5,0.5,0.6,6,332.608,209.074
0.01,hersheycareers,0.5,0.5,0.6,7,332.855,208.059
0.01,hersheycareers,0.5,0.5,0.6,8,332.752,208.074
0.01,hersheycareers,0.5,0.5,0.6,9,332.126,206.528
0.01,hersheycareers,0.5,0.5,0.7,0,333.384,234.387
0.01,hersheycareers,0.5,0.5,0.7,1,332.902,233.746
0.01,hersheycareers,0.5,0.5,0.7,2,332.112,233.632
0.01,hersheycareers,0.5,0.5,0.7,3,332.419,235.32
0.01,hersheycareers,0.5,0.5,0.7,4,332.092,233.502
0.01,hersheycareers,0.5,0.5,0.7,5,332.997,234.6
0.01,hersheycareers,0.5,0.5,0.7,6,332.377,234.84
0.01,hersheycareers,0.5,0.5,0.7,7,332.791,234.997
0.01,hersheycareers,0.5,0.5,0.7,8,333.275,234.584
0.01,hersheycareers,0.5,0.5,0.7,9,333.201,233.879
0.01,hersheycareers,0.5,0.5,0.8,0,332.079,257.859
0.01,hersheycareers,0.5,0.5,0.8,1,332.523,258.285
0.01,hersheycareers,0.5,0.5,0.8,2,332.919,257.853
0.01,hersheycareers,0.5,0.5,0.8,3,332.586,258.988
0.01,hersheycareers,0.5,0.5,0.8,4,333.053,259.32
0.01,hersheycareers,0.5,0.5,0.8,5,332.09,257.342
0.01,hersheycareers,0.5,0.5,0.8,6,332.7,259.237
0.01,hersheycareers,0.5,0.5,0.8,7,332.513,258.6
0.01,hersheycareers,0.5,0.5,0.8,8,332.538,258.476
0.01,hersheycareers,0.5,0.5,0.8,9,332.344,259.216
0.01,hersheycareers,0.5,0.5,0.9,0,330.299,274.331
0.01,hersheycareers,0.5,0.5,0.9,1,331.077,274.955
0.01,hersheycareers,0.5,0.5,0.9,2,330.526,274.494
0.01,hersheycareers,0.5,0.5,0.9,3,330.635,276.961
0.01,hersheycareers,0.5,0.5,0.9,4,331.134,276.478
0.01,hersheycareers,0.5,0.5,0.9,5,331.049,275.254
0.01,hersheycareers,0.5,0.5,0.9,6,331.241,275.589
0.01,hersheycareers,0.5,0.5,0.9,7,330.514,275.734
0.01,hersheycareers,0.5,0.5,0.9,8,330.006,275.729
0.01,hersheycareers,0.5,0.5,0.9,9,330.988,275.394
0.01,hersheycareers,0.5,0.8,0.1,0,313.265,103.97
0.01,hersheycareers,0.5,0.8,0.1,1,313.807,104.192
0.01,hersheycareers,0.5,0.8,0.1,2,314.008,105.475
0.01,hersheycareers,0.5,0.8,0.1,3,313.49,103.997
0.01,hersheycareers,0.5,0.8,0.1,4,313.284,104.113
0.01,hersheycareers,0.5,0.8,0.1,5,314.565,105.666
0.01,hersheycareers,0.5,0.8,0.1,6,313.874,105.439
0.01,hersheycareers,0.5,0.8,0.1,7,313.555,104.07
0.01,hersheycareers,0.5,0.8,0.1,8,314.627,105.775
0.01,hersheycareers,0.5,0.8,0.1,9,314.492,104.695
0.01,hersheycareers,0.5,0.8,0.2,0,321.962,124.286
0.01,hersheycareers,0.5,0.8,0.2,1,322.073,125.17
0.01,hersheycareers,0.5,0.8,0.2,2,322.057,124.906
